"binomial_name","Family","Genus","Species","species_origin","logging_status"
"Horsfieldia unknown mixed","Myristicaceae","Horsfieldia","unknown mixed","50ha","unlogged"
"Hubera rumphii","Annonaceae","Hubera","rumphii","CP","logged"
"Hydnocarpus anomala","Achariaceae","Hydnocarpus","anomala","CP","logged"
"Hydnocarpus anomalus","Achariaceae","Hydnocarpus","anomalus","50ha, CP","both"
"Hydnocarpus borneensis","Achariaceae","Hydnocarpus","borneensis","50ha, CP","both"
"Hydnocarpus polypetalus","Achariaceae","Hydnocarpus","polypetalus","50ha","unlogged"
"Hydnocarpus unknown mixed","Achariaceae","Hydnocarpus","unknown mixed","50ha, CP","both"
"Intsia palembanica","Fabaceae","Intsia","palembanica","50ha, CP","both"
"Intsia unknown mixed","Fabaceae","Intsia","unknown mixed","50ha","unlogged"
"Irvingia malayana","Irvingiaceae","Irvingia","malayana","50ha","unlogged"
"Ixora blumei","Rubiaceae","Ixora","blumei","50ha, CP","both"
"Ixora brevicaudata","Rubiaceae","Ixora","brevicaudata","50ha","unlogged"
"Ixora grandifolia","Rubiaceae","Ixora","grandifolia","50ha, CP","both"
"Ixora unknown mixed","Rubiaceae","Ixora","unknown mixed","50ha","unlogged"
"Kayea oblongifolia","Clusiaceae","Kayea","oblongifolia","50ha","unlogged"
"Kayea unknown mixed","Calophyllaceae","Kayea","unknown mixed","CP","logged"
"Kibara obtusa","Monimiaceae","Kibara","obtusa","50ha, CP","both"
"Knema cinerea","Myristicaceae","Knema","cinerea","50ha","unlogged"
