notes,species,family,reference,calyx_length_mm,corolla_tube_mm,corolla_length_mm,corolla_colour,stamen_length_mm,distribution,altitude
NA,Tephrosia luzoniensis,leg,Bosman & Haas 1983,2.4_5,NA,3_7.5,red_purple_pink,2.2_5.8,Java_Madura_Lesser Sunda Islands_Philippines,1_500
NA,Tephrosia maculata,leg,Bosman & Haas 1983,2_4,NA,4_7,pale purple_bright mauve_bright blue-mauve_bright purplish pink_lavender pink,2_5,New Guinea_Moluccas,30_1000
NA,Tephrosia nana,leg,Bosman & Haas 1983,3_5.6,NA,8_14,purple pink_reddish purple_mauve pink_red_white,6.3_12.5,Java,650_1600
NA,Tephrosia noctiflora,leg,Bosman & Haas 1983,3.5_6,NA,6_11,white_purple_lavender_light blue_pale lilac_pale violet_pale yellow_purplish tinged yellow or pale purple turning white towards the margins,5.5_6.5,Malay Peninsula_Java_Philippines_Sulawesi_New Guinea,1_700
NA,Tephrosia obovata,leg,Bosman & Haas 1983,3.5_4.5,NA,6_9,NA,6.2_6.8,Taiwan_Philippines,NA
NA,Tephrosia pumila,leg,Bosman & Haas 1983,2.2_5.2,NA,2.5_7,white_pale blue_bright reddish purple_pinkish_pale cream turning pink_purple,2_6,pantropical,1_800
NA,Tephrosia purpurea,leg,Bosman & Haas 1983,2.3_5.7,NA,4_8.5,red_violet_purple_yellow_bluish violet_blue-maroon_bright purplish red_pale mauve,4_6,pantropical,1_1300
NA,Tephrosia senticosa,leg,Bosman & Haas 1983,2.3_5,NA,8_10,bright reddish orange_vermillion,5.5_8,India_Myanmar_Sri Lanka_Java,1350
NA,Tephrosia spinosa,leg,Bosman & Haas 1983,2_4,NA,3_6.5,NA,3_3.6,India_Java_Timor,15_80
NA,Tephrosia vestita,leg,Bosman & Haas 1983,3.4_6.5,NA,8_19,white_greenish white_pinkish white_creamy white_yellow _brown,4.8_12.5,Thailand_Laos_Vietnam_South China_Malesia except Borneo,1_800
NA,Tephrosia villosa,leg,Bosman & Haas 1983,7.5_9,NA,6_8,reddish purple_purple_pink,3.4_5,tropical and subtropical Africa_W. Pakistan_India_Sri Lanka_Indo-China_Flores,20_160
NA,Tephrosia vogelii,leg,Bosman & Haas 1983,9_18,NA,18_26,white_purple_blue,19_20,native to tropical Africa_introduced in tropical America_India_Sumatra_Malay Peninsula_Java_Lesser Sunda Islands_Philippines_Sulawesi_New Guinea,1_2440
NA,Tephrosia zollingeri,leg,Bosman & Haas 1983,2.6_3.8,NA,4_9,white_violet_purple_light purplish red,3_4,Java_Lesser Sunda Islands_Sulawesi_Moluccas,1_700
NA,Acrocarpus fraxinifolius,leg,Hou 1996,2.5_4,NA,5_9,red,15_18,C Java_Sumatra_E India_Burma_Thailand_Laos_China,600_1200
NA,Afzelia javanica,leg,Hou 1996,6_10,NA,8_10,NA,45_65,Sumatra_W Java_C Java,1_800
NA,Afzelia rhomboidea,leg,Hou 1996,5_12,NA,7_10,yellow_red,45_60,Sumatra_Kalimantan_Sabah_Philippines,1_1400
NA,Bauhinia acuminata,leg,Hou 1996,NA,NA,40_60,white,15_25,Java_Borneo_Philippines_Timor,NA
as Bauhinia in Hou,Gigasiphon amplum,leg,Hou 1996,45_50,NA,50_90,white_red,40_55,Timor_New Guinea,1_750
as Bauhinia in Hou,Gigasiphon dolichocalyx,leg,Hou 1996,45_60,NA,80_100,white,40,Batangas,NA
NA,Bauhinia hirsuta,leg,Hou 1996,NA,NA,30_40,white,7_20,S China_SE Asia_Peninsular Malaysia_Java,1_600
NA,Bauhinia viridescens,leg,Hou 1996,NA,NA,7_12,green_white,NA,Myanmar_Thailand_Cambodia_Laos_Vietnam_Timor_Wetar,NA
as Bauhinia in Hou,Piliostigma malabaricum,leg,Hou 1996,NA,NA,10,white,NA,India_Myanmar_Thailand_Cambodia_Laos_Vietnam_Philippines_Java_Timor_Queensland,1_300
as Bauhinia in Hou,Phanera aherniana,leg,Hou 1996; Mackinder & Clark 2014,15_20,NA,25_35,cream_white_yellow_green,20_30,Luzon_Mindoro_Leyte_Palawan_Sabah,1_650
as Bauhinia in Hou,Phanera andersonii,leg,Hou 1996; Mackinder & Clark 2014,NA,NA,20_30,yellow_scarlet,5_7,Kelantan_Pehang,400
as Bauhinia in Hou,Phanera audax,leg,Hou 1996; Mackinder & Clark 2014,25_35,NA,25_35,green,25_35,Selangor_Negri Sembilan_Malacca_Johor,1_100
as Bauhinia in Hou,Phanera bassacensis,leg,Hou 1996; Mackinder & Clark 2014,5_8,NA,10,yellow_green_purple,20,Thailand_Laos_Cambodia_Vietnam_Kedah_Kelantan_Sabah_W Java,NA
as Bauhinia in Hou,Cheniella corymbosa,leg,Hou 1996; Mackinder & Clark 2017,NA,NA,8_13,white_pink,8_10,China_N Vietnam,NA
as Bauhinia in Hou,Phanera crudiantha,leg,Hou 1996; Mackinder & Clark 2014,NA,NA,7_10,white,6_10,Sandakan,NA
as Bauhinia endertii in Hou,Phanera argentea,leg,Hou 1996; Mackinder & Clark 2014,7,NA,7_10,yellow_white,5_6,Sabah_Sarawak_E Kalimantan_W Kalimantan,NA
as Bauhinia endertii in Hou,Phanera excelsa,leg,Hou 1996; Mackinder & Clark 2014,20_35,NA,20_50,cream_white_yellow,25_50,Borneo,1_1500
as Bauhinia in Hou,Phanera excurrens,leg,Hou 1996; Mackinder & Clark 2014,NA,NA,20,white,15,Kinabalu,600_700
as Bauhinia in Hou,Phanera fabrilis,leg,Hou 1996; Mackinder & Clark 2014,20_25,NA,20,white_yellow,40_50,Crocker range,NA
as Bauhinia in Hou,Phanera ferruginea,leg,Hou 1996; Mackinder & Clark 2014,NA,NA,30_45,cream_white_yellow_pink_red,50_60,S Thailand_Malay Peninsula_Sumatra,1_800
as Bauhinia in Hou,Phanera fulva,leg,Hou 1996; Mackinder & Clark 2014,8_12,NA,10_22,white,10_18,Sumatra_Java,600_1000
as Bauhinia in Hou,Phanera glabrifolia,leg,Hou 1996; Mackinder & Clark 2014,NA,NA,6_8,yellow_white,10_12,Myanmar_Peninsular Thailand_Penang_Perak,1_250
as Bauhinia in Hou,Phanera glabristipes,leg,Hou 1996; Mackinder & Clark 2014,25,NA,NA,NA,7,Sarawak,NA
as Bauhinia in Hou,Cheniella glauca,leg,Hou 1996; Mackinder & Clark 2017,4,NA,8_10,yellow_white,8_10,Java_Myanmar_Pahang_Perak_Sumatra_Thailand,1_1700
as Bauhinia in Hou,Phanera gracillima,leg,Hou 1996; Mackinder & Clark 2014,NA,NA,15_25,green,10_13,Kaloili-Sepilok,NA
as Bauhinia in Hou,Phanera hendersonii,leg,Hou 1996; Mackinder & Clark 2014,NA,NA,25,white,35,Anambas Is,30
as Bauhinia in Hou,Phanera integrifolia,leg,Hou 1996; Mackinder & Clark 2014,NA,NA,8_15,orange_red,16,Sumatra_Peninsular Malaysia_Sabah_Philippines,1_1200
as Bauhinia in Hou,Phanera kostermansii,leg,Hou 1996; Mackinder & Clark 2014,NA,NA,15_20,white_green,12_18,Berau River,NA
as Bauhinia in Hou,Phanera lingua,leg,Hou 1996; Mackinder & Clark 2014,12_15,NA,25_35,white_yellow,15_25,Philippines_Sulawesi_Lesser Sundas_New Guinea_Sulawesi_Halmahera,1_1000
as Bauhinia in Hou,Phanera merrilliana,leg,Hou 1996; Mackinder & Clark 2014,NA,NA,7_10,white_yellow_orange,10_13,Palawan_Sabah_Sarawak,1_1500
as Bauhinia in Hou,Phanera pachyphylla,leg,Hou 1996; Mackinder & Clark 2014,NA,NA,25,yellow,15,Rizal_Surigao,NA
as Bauhinia in Hou,Phanera pauciflora,leg,Hou 1996; Mackinder & Clark 2014,NA,NA,15_30,white_yellow,15_25,Luzon,1400
as Bauhinia in Hou,Phanera praesignis,leg,Hou 1996; Mackinder & Clark 2014,NA,NA,35_40,white,25,Pahang_Negeri Sembilan,NA
as Bauhinia in Hou,Phanera rahmatii,leg,Hou 1996; Mackinder & Clark 2014,15,NA,20,NA,12_15,Sumatra,NA
as Bauhinia in Hou,Phanera ridleyi,leg,Hou 1996; Mackinder & Clark 2014,NA,NA,15_20,white,20,Thailand_Penang_Kedah_Perak_Kelantan,NA
as Bauhinia in Hou,Phanera semibifida,leg,Hou 1996; Mackinder & Clark 2014,10_25,NA,15_35,white_yellow,25_30,Sumatra_Peninsular Malaysia_Borneo_Philippines_Sulawesi,200_2000
as Bauhinia in Hou,Phanera steenisii,leg,Hou 1996; Mackinder & Clark 2014,NA,NA,30_40,white_yellow,45,Kinabalu,1700_1800
as Bauhinia in Hou,Phanera stipularis,leg,Hou 1996; Mackinder & Clark 2014,NA,NA,15_25,white_yellow,10_30,Nicobars_Sumatra,1_1700
as Bauhinia in Hou,Phanera sylvani,leg,Hou 1996; Mackinder & Clark 2014,NA,NA,50_60,cream_yellow,60_70,Sarawak_Sabah,200_450
as Bauhinia in Hou,Phanera williamsii,leg,Hou 1996; Mackinder & Clark 2014,NA,NA,5_6,red,7_10,SE New Guinea,1_100
as Bauhinia in Hou,Lasiobema curtisii,leg,Hou 1996; Mackinder & Clark 2014,NA,NA,5_7,green,4_5,Cambodia_Laos_Vietnam_Thailand_Peninsular Malaysia,1_500
as Bauhinia in Hou,Lasiobema flava,leg,Hou 1996; Mackinder & Clark 2014,4,NA,8,yellow,6_8,Langkawi_Perlis,1
as Bauhinia in Hou,Lasiobema scandens,leg,Hou 1996; Mackinder & Clark 2014,NA,NA,2_3,yellow_white,4_5,India_Myanmar_S China_Laos_Cambodia_Vietnam_Thailand_Sumatra_Java_Madura_Sumba,1_800
as Bauhinia in Hou,Lysiphyllum binatum,leg,Hou 1996; Mackinder & Clark 2014,5_6,NA,20,white_purple,20,Thailand_Java_Philippines_Sulawesi_Lesser Sundas_New Guinea_Moluccas_N Australia,NA
as Bauhinia in Hou,Lysiphyllum dewitii,leg,Hou 1996,NA,NA,10_12,white_red,15,West Sarawak,NA
as Bauhinia in Hou,Lysiphyllum dipterum,leg,Hou 1996,15,NA,25,white_purple,25,N Borneo,NA
as Bauhinia in Hou,Phanera bidentata,leg,Hou 1996; Mackinder & Clark 2014,NA,NA,15_22,yellow_red,2_9,Sumatra_Peninsular Malaysia,1_1500
as Bauhinia in Hou,Phanera burbidgei,leg,Hou 1996; Mackinder & Clark 2014,NA,NA,16_24,orange_red,7_11,Sarawak_Brunei_Sabah,NA
as Bauhinia in Hou,Phanera campanulata,leg,Hou 1996; Mackinder & Clark 2014,13,NA,24_27,yellow_orange_red,8_10,Brunei,350
as Bauhinia in Hou,Phanera cuprea,leg,Hou 1996; Mackinder & Clark 2014,8,NA,20_25,yellow_red,3,Perak_Gunong Ledang,NA
as Bauhinia in Hou,Phanera decumbens,leg,Hou 1996; Mackinder & Clark 2014,10_13,NA,10,yellow_red,5,Gunung Senyum,400
as Bauhinia in Hou,Phanera elmeri,leg,Hou 1996; Mackinder & Clark 2014,NA,NA,10_15,green_white_yellow,NA,Sarawak_Sabah_Kalimantan,650
as Bauhinia in Hou,Phanera finlaysoniana,leg,Hou 1996; Mackinder & Clark 2014,NA,NA,10_25,white_yellow_orange_red,7_12,Java_Peninsular Malaysia_Borneo_Sumatra_Moluccas_Ambon_Bacan_Buru_Seram_Obi_Philippines_Sulawesi,1_1400
as Bauhinia in Hou,Phanera foraminifera,leg,Hou 1996; Mackinder & Clark 2014,NA,NA,12_15,white,5_7,Bako NP_Brunei,100_275
as Bauhinia in Hou,Phanera franckii,leg,Hou 1996; Mackinder & Clark 2014,NA,NA,40_45,red,4,Frasers Hill,NA
as Bauhinia in Hou,Phanera havilandii,leg,Hou 1996; Mackinder & Clark 2014,5,NA,6_8,white_green,6_8,Sabah_Sarawak_E Kalimantan,NA
as Bauhinia in Hou,Phanera kingii,leg,Hou 1996; Mackinder & Clark 2014,NA,NA,12_15,orange_yellow_red,7_10,Perak_Selangor_Pahang,1000_1600
as Bauhinia in Hou,Phanera kockiana,leg,Hou 1996; Mackinder & Clark 2014,NA,NA,20_25,yellow_orange_red,3_8,Peninsular Malaysia_Borneo_Lesser Sundas_Sumatra,1_1200
as Bauhinia in Hou,Phanera lambiana,leg,Hou 1996; Mackinder & Clark 2014,NA,NA,20,yellow_red,10_12,Sarawak_Brunei,1_330
as Bauhinia in Hou,Phanera lucida,leg,Hou 1996; Mackinder & Clark 2014,NA,NA,17,yellow_red,10,Penang_Perak_Batu Togo_Siberut,NA
as Bauhinia in Hou,Phanera menispermacea,leg,Hou 1996; Mackinder & Clark 2014,NA,NA,10_15,yellow_red,6_7,W Borneo,NA
as Bauhinia in Hou,Phanera posthumi,leg,Hou 1996; Mackinder & Clark 2014,NA,NA,25,NA,10,Jambi,140
as Bauhinia in Hou,Phanera pyrrhoneura,leg,Hou 1996; Mackinder & Clark 2014,NA,NA,20_40,yellow,5,Sumatra,NA
as Bauhinia in Hou,Phanera wrayii,leg,Hou 1996; Mackinder & Clark 2014,NA,NA,10_11,yellow_white_red,5,Sumatra_Peninsular Malaysia_Borneo,1_1200
as Bauhinia in Hou,Lasiobema strychnoideum,leg,Hou 1996; Mackinder & Clark 2014,4,NA,7_8,red,7,Perak_Kelantan_Pahang_Selangor_Negri Sembilan,NA
as Bauhinia in Hou,Lasiobema tubicalyx,leg,Hou 1996; Mackinder & Clark 2014,NA,NA,5,green,6,S Peninsular Thailand_Peninsular Malaysia,NA
NA,Archidendropsis sepikensis,leg,Nielsen 1992,2_2.5,NA,5_5.3,white,14_20,New Guinea,1_350
NA,Archidendropsis spicata,leg,Nielsen 1992,2,NA,5_6,white,16,Umboi Is,15_200
NA,Cathormion umbellatum,leg,Nielsen 1992,1.5_2.5,NA,3_4,cream_white,15,Australia_Sumatra_Java_Madura_Kageans_Selayar Is_Sulawesi_Senana_Seram_Banda_Bali_Lombok_Komodo_Alor_Flores_Sumba_Sumbawa_Timor_New Guinea,1_150
NA,Pararchidendron pruinosum,leg,Nielsen 1992,1_2,NA,5.2_7,yellow_green,12,Java_Sulawesi_Selayar_Bali_Lombok_Sumba_Timor_New Guinea_Sumbawa_Flores,400_2250
NA,Paraserianthes lophantha,leg,Nielsen 1992,1.5_3,NA,4_8,green,10_15,Sumatra_Java_Bali_Flores,600_3265
NA,Paraserianthes falcataria,leg,Nielsen 1992,1.5_3,NA,2.8_9,cream_green_yellow,10_15,Moluccas_New Guinea_Bismarcks_Solomons,1_2300
NA,Paraserianthes pullenii,leg,Nielsen 1992,2.5_3.5,NA,5_6.8,yellow_brown,10,C Province PNG,66_120
NA,Serianthes minahassae,leg,Nielsen 1992,3.5_5,NA,6_8,white,12_25,Sumbawa_Sulawesi_Seram_Talaud_New Guinea_Bismarcks_Solomons_Aru,10_800
NA,Serianthes grandiflora,leg,Nielsen 1992,11_15,NA,23_32,yellow_brown,50,S Thailand_Peninsular Malaysia_Sumatra_Java_Philippines_Sabah_Sulawesi_Moluccas_West Papua_Manus,NA
NA,Serianthes hooglandii,leg,Nielsen 1992,5_13,NA,24_29,pink_brown,60,PNG_DEntrecasteaux Is_Solomons,NA
NA,Serianthes robinsonii,leg,Nielsen 1992,10_13,NA,27_36,yellow,50,Ambon_Seram,200
NA,Wallaceodendron celebicum,leg,Nielsen 1992,2_5,NA,7.5_19,brown,30_45,N Sulawesi_Philippines,1_850
NA,Adenanthera borneensis,leg,Nielsen 1992,NA,NA,2.5,NA,4,Sarawak_Kalimantan,100
NA,Adenanthera forbesii,leg,Nielsen 1992,0.7,NA,2.5_4,NA,3.5_4,Sumatra_Bangka,1_90
NA,Adenanthera intermedia,leg,Nielsen 1992,0.5,NA,2.4_3.5,NA,4,Luzon_Palawan_Mindanao,1_700
NA,Adenanthera kostermansii,leg,Nielsen 1992,0.3_0.5,NA,2.5_4,yellow_white,3_4,Borneo_S Philippines,1_600
NA,Adenanthera malayana,leg,Nielsen 1992,0.5_0.8,NA,2.5_3,yellow_white,3.5_4.5,Peninsular Malaysia_Sumatra_Sarawak_Kalimantan,1_900
NA,Adenanthera marina,leg,Nielsen 1992,0.75,NA,3,cream_yellow,3,Peninsular Malaysia,1_50
NA,Adenanthera microsperma,leg,Nielsen 1992,0.5_0.75,NA,2.5_3.5,white_yellow,3_4.5,Myanmar_S China_Indochina_Thailand_Andamans_Peninsular Malaysia_Java_Timor,1_600
NA,Adenanthera novoguineensis,leg,Nielsen 1992,0.5_1.3,NA,3_3.5,white_cream_yellow,4,New Guinea_New Ireland_New Britain,1_600
NA,Adenanthera pavonina,leg,Nielsen 1992,0.8_1,NA,3_5,white_yellow,3.8_5.5,tropical Asia_Peninsular Malaysia_Sumatra_Borneo_Java_Sulawesi_Lesser Sundas_Morotai_Ambon_New Guinea,1_600
NA,Dichrostachys cinerea,leg,Nielsen 1992,0.5_1,NA,1.5_3,green_white_violet,3.5_5,S Thailand_Australia_Java_Madura_Flores_Lombok_Sumbawa_Wetar_Moa_Timor,1_1568
NA,Entada borneensis,leg,Nielsen 1992,0.5_0.6,NA,2,yellow_white_green,4,Borneo,1_800
NA,Entada parvifolia,leg,Nielsen 1992,0.75_1,NA,3,NA,5.5_7,Luzon_Golo_Busuanga,1_500
NA,Entada phaseoloides,leg,Nielsen 1992,0.8_1.25,NA,2.8_3.5,green_red,6.5,N Vietnam_S China_Australia_Borneo_Sumatra_Java_Philippines_Sulawesi_Wetar_Flores_Halmahera_Ternate_Ambon_Tanimbar_New Guinea_Bismarks,1_1700
NA,Entada rheedii,leg,Nielsen 1992,0.5_1,NA,2.8_3,white,5_6.5,Africa_Mascarenes_tropical Asia_Australia_Peninsular Malaysia_Java_Borneo_Sulawesi_Luzon_Mindanao_Lombok_Sumbawa_Flores_Timor_Alor_Wetar_New Guinea,1_400
NA,Entada spiralis,leg,Nielsen 1992,0.5_1,NA,2.5_3,white,6,Peninsular Thailand_Peninsular Malaysia_Sumatra,1_540
Lower and Upper flower measurements combined,Neptunia dimorphantha,leg,Nielsen 1992,0.6_1.4,NA,1.3_2.2,green,2.8_3.4,Australia_Timor,NA
Lower and Upper flower measurements combined,Neptunia gracilis,leg,Nielsen 1992,0.7_1.9,NA,1.6_3.1,green,3.9_5,Australia_Luzon_Flores_Timor_PNG,1_600
Lower and Upper flower measurements combined,Neptunia javanica,leg,Nielsen 1992,0.8_2.2,NA,1.6_3.5,green,3.8_8,Thailand_Cambodia_Java_Madura_Flores,1_650
Lower and Upper flower measurements combined,Neptunia oleracea,leg,Nielsen 1992,0.9_3,NA,2.2_4.3,green,6_8.9,Peninsular Malaysia_Sumatra_Borneo_Sulawesi_Mindanao_Buru,1_200
NA,Schleinitzia megaladenia,leg,Nielsen 1992,2,NA,2,NA,4.5,Luzon,1_400
NA,Schleinitzia novoguineensis,leg,Nielsen 1992,1.5_1.7,NA,1.7_2.2,pink_violet_green,6,Solomons_Vanuatu_Morotai_New Guinea_Manus_New Britain,1_250
NA,Parkia singularis,leg,Nielsen 1992,7.5_9,NA,8_9,NA,8.5_12,Peninsular Malaysia_Sumatra_Borneo,20_700
NA,Parkia speciosa,leg,Nielsen 1992,6.5_9.5,NA,7.5_10,NA,8.5_14,S Thailand_Sumatra_Peninsular Malaysia_Borneo_Palawan,1_1420
NA,Parkia sumatrana,leg,Nielsen 1992,10_11,NA,11.5,NA,14,Sumatra_Borneo_Myanmar_Thailand_Indochina_Peninsular Malaysia,100_900
NA,Parkia timoriana,leg,Nielsen 1992,9_10.5,NA,10_11,NA,11_13.5,NE India_Bangladesh_Myanmar_Thailand_Peninsular Malaysia_Sumatra_Borneo_Java_Palawan_Luzon_Sulawesi_W Sumbawa_Timor_Moluccas_West Papua,1_1300
NA,Parkia versteeghii,leg,Nielsen 1992,9_9.5,NA,11.5,NA,13.5,Solomons_Idenburg River_Gogol Valley,8_125
NA,Caesalpinia andamanica,leg,Hou 1996,4_12,NA,9_10,NA,12_14,Myanmar_Andamans_Thailand_Lampung_Peninsular Malaysia,1_500
NA,Caesalpinia bonduc,leg,Hou 1996,7_10,NA,7_10,NA,6_10,Philippines_Peninsular Malaysia_Borneo_Sumatra_Java_Lesser Sundas_Sulawesi_Moluccas_New Guinea,1_850
NA,Caesalpinia crista,leg,Hou 1996,6_8,NA,5_10,NA,10,Philippines_Peninsular Malaysia_Borneo_Sumatra_Java_Lesser Sundas_Sulawesi_Moluccas_New Guinea_Australia,1_350
NA,Caesalpinia cucullata,leg,Hou 1996,5_12,NA,6_8,NA,20_25,India_China_Vietnam_Thailand_Sumatra_Peninsular Malaysia_Banjarmasin_Java_Luzon_Mindanao_Bali,1_1500
NA,Caesalpinia digyna,leg,Hou 1996,3_8,NA,5_8,NA,12,India_Nepal_Sri Lanka_Myanmar_Laos_Cambodia_Vietnam_Thailand_Palembang_Peninsular Malaysia_Java_Madura_Kangeans_Bali,1_250
NA,Caesalpinia enneaphylla,leg,Hou 1996,4_6,NA,3,NA,10,India_China_Myanmar_Thailand_Vietnam_Java_Pangkadjene,300
NA,Caesalpinia furfuracea,leg,Hou 1996,8_15,NA,2_6,NA,15_20,Myanmar_Thailand_Timor_Alor,NA
NA,Caesalpinia hymenocarpa,leg,Hou 1996,6_10,NA,3_4,NA,7_17,Sri Lanka_Myanmar_Laos_Cambodia_China_Thailand_Java_Sumbawa_Timor_Flores_Alor_Tanimbar,1_850
NA,Caesalpinia latisiliqua,leg,Hou 1996,7_15,NA,8_19,NA,14_22,Vietnam_Brunei_Sarawak_Kalimantan_Philippines_Sulawesi_Morobe,100_1500
NA,Caesalpinia major,leg,Hou 1996,7,NA,4_7,yellow,6_7,SE US_Caribbean_Guyana_Madagascar_India_Ryukyus_Micronesia_Sandwich_Tonga_Peninsular Malaysia_Borneo_Sumatra_Philippines_Java_Lesser Sundas_Sulawesi_Moluccas_New Guinea,1_1400
NA,Caesalpinia mindorensis,leg,Hou 1996,6_8,NA,7_10,NA,11_13,Mindoro_Biliran_Mindanao,NA
NA,Caesalpinia oppositifolia,leg,Hou 1996,3,NA,4_5,NA,5,Sandakan_Kinabalu,1_600
NA,Caesalpinia parviflora,leg,Hou 1996,2_7,NA,5_8,NA,5_10,Peninsular Malaysia_Borneo_Palawan,NA
NA,Caesalpinia pubescens,leg,Hou 1996,0.4_1.2,NA,0.7_1.6,NA,3,N Vietnam_Peninsular Thailand_Bangka_Java_Madura_Kangeans_C Luzon_SW Sulawesi_Selayar_Bali_Lombok_Sumbawa_Flores_Timor_Wetar,1_700
NA,Caesalpinia scortechinii,leg,Hou 1996,5_6,NA,4_6,yellow,7,Australia_PNG,1_810
NA,Caesalpinia sumatrana,leg,Hou 1996,6_15,NA,12_32,pink,15_29,Guadalcanal_Bengkulu_Peninsular Malaysia_Sabah_Java_Jayapura_PNG_New Britain_New Ireland,1_1000
NA,Caesalpinia tortuosa,leg,Hou 1996,3_10,NA,6_7,NA,10_14,Assam_Hong Kong_Myanmar_Sumatra_Johor_Penang_Singapore_Kalimantan_Java,NA
NA,Cassia javanica,leg,Hou 1996,4_10,NA,15_35,pink_red,20,Java_NE India_Thailand_Laos_Vietnam_New Guinea_Bougainville_Sumatra_Borneo_Lesser Sundas_Peninsular Malaysia_Philippines_Myanmar,1_1000
NA,Chamaecrista leschenaultiana,leg,Hou 1996,NA,NA,6_15,yellow,5_8,Peninsular Malaysia_Borneo_Lesser Sundas_Sumatra_Philippines_Moluccas_Sulawesi_New Guinea,1_1600
NA,Chamaecrista mindanaensis,leg,Hou 1996,8,NA,10,yellow,3.5_5,Mindanao,1_500
NA,Chamaecrista pumila,leg,Hou 1996,5_6,NA,2_3,yellow,1.5_2,Mainland Asia_Australia_Sumbawa_Java_Flores_Timor,1_300
NA,Copaifera palustris,leg,Hou 1996,4_7.5,NA,NA,NA,7_10,Borneo,1_30
NA,Crudia acuta,leg,Hou 1996,3_4,NA,NA,yellow_green_white,4_7,Simeulue_Sumatra,5_400
NA,Crudia bantamensis,leg,Hou 1996,3_4,NA,NA,yellow_green_white,12,W Java_Sabah_Kalimantan,1_350
NA,Crudia beccarii,leg,Hou 1996,3_3.5,NA,NA,NA,5_7,Borneo,20_50
NA,Crudia blancoi,leg,Hou 1996,3_4,NA,NA,white,5_7,Luzon_Tanimbar_PNG,NA
NA,Crudia caudata,leg,Hou 1996,5_7,NA,NA,NA,15,Peninsular Thailand_Peninsular Malaysia_Sarawak_W Kalimantan,1_5
NA,Crudia cauliflora,leg,Hou 1996,NA,NA,NA,NA,NA,Siargao,NA
NA,Crudia curtisii,leg,Hou 1996,4_5,NA,NA,white,2,Peninsular Malaysia,1_300
NA,Crudia dewitii,leg,Hou 1996,NA,NA,NA,NA,NA,Solomons_New Guinea,1_60
NA,Crudia evansii,leg,Hou 1996,4,NA,NA,NA,NA,Peninsular Thailand_Pahang,NA
NA,Crudia gracilis,leg,Hou 1996,4,NA,NA,NA,NA,Peninsular Thailand_Malay Peninsula,NA
NA,Crudia katikii,leg,Hou 1996,4.5,NA,NA,NA,NA,Madang,30_60
NA,Crudia lanceolata,leg,Hou 1996,3_4,NA,NA,NA,2_5,Peninsular Thailand_Langkawi_Selangor _Johor,150_400
NA,Crudia mutabilis,leg,Hou 1996,5_7,NA,NA,NA,18,Palembang_Priangan,15
NA,Crudia ornata,leg,Hou 1996,6_7,NA,NA,NA,15,Borneo,1_200
NA,Crudia papuana,leg,Hou 1996,4,NA,NA,white_green,5,New Georgia_New Guinea,1_114
NA,Crudia penduliflora,leg,Hou 1996,NA,NA,NA,NA,NA,Mt Ophir,NA
NA,Crudia reticulata,leg,Hou 1996,3.5_4,NA,NA,NA,4_6,Borneo,1_1000
NA,Crudia ripicola,leg,Hou 1996,6,NA,NA,NA,10,Kalimantan,1_15
NA,Crudia scortechinii,leg,Hou 1996,4_5,NA,NA,NA,NA,Perak,NA
NA,Crudia sparei,leg,Hou 1996,3_4,NA,NA,NA,5,Perak,NA
NA,Crudia splendens,leg,Hou 1996,NA,NA,NA,NA,NA,Kalimantan,NA
NA,Crudia subsimplicifolia,leg,Hou 1996,4,NA,NA,white_yellow_white,4_6,Sabah_Sarawak_Luzon_Aru,300_900
NA,Crudia tenuipes,leg,Hou 1996,4_4.5,NA,NA,green_white_yellow,12,Borneo,1_540
NA,Crudia teysmannii,leg,Hou 1996,3_4,NA,NA,NA,6_8,Palembang_Kalimantan,1_35
NA,Crudia velutina,leg,Hou 1996,3_5,NA,NA,NA,3_10,Peninsular Malaysia_Sarawak,5
NA,Crudia venosa,leg,Hou 1996,3_4,NA,NA,NA,NA,Sabah,8
NA,Crudia viridiflora,leg,Hou 1996,4_5,NA,NA,green,5_10,Pahang,NA
NA,Crudia wrayi,leg,Hou 1996,3.5_4,NA,NA,white,11,Kedah_Perak_Johor_Sarawak_Kalimantan,1_90
NA,Cynometra brachymischa,leg,Hou 1996,5_6,NA,NA,NA,NA,Morobe,1300
NA,Cynometra copelandii,leg,Hou 1996,4,NA,4.5,NA,NA,Sibuyan,250
NA,Cynometra elmeri,leg,Hou 1996,NA,NA,NA,NA,NA,Sabah_Rizal Prov,50_300
NA,Cynometra inaequifolia,leg,Hou 1996,4,NA,4,NA,6_7,Luzon_Panay_Negros,NA
NA,Cynometra iripa,leg,Hou 1996,2.5_3.5,NA,2,NA,3_5,Sri Lanka_India_Myanmar_Peninsular Thailand_Malesia_Micronesia_Guam_N Queensland_Peninsular Malaysia_Java_Panay_Tablas_Mindanao,1_500
NA,Cynometra katikii,leg,Hou 1996,3.5,NA,2.5,white,5,East Sepik_Madang,50
NA,Cynometra malaccensis,leg,Hou 1996,3_4,NA,2_4,NA,3_6,India_Peninsular Thailand_Peninsular Malaysia,1_900
NA,Cynometra minutiflora,leg,Hou 1996,2,NA,NA,NA,2_4,Gunung Genofo_Central Province PNG,300_900
NA,Cynometra mirabilis,leg,Hou 1996,5_6,NA,7,NA,NA,Sabah_Mindanao_Sulu,1_600
NA,Cynometra novoguineensis,leg,Hou 1996,2,NA,1,NA,2,Jayapura,50
