"binomial_name","Family","Genus","Species","history","species_origin","logging_status"
"Goniothalamus species 2","Annonaceae","Goniothalamus","species 2","NA","50ha","unlogged"
"Goniothalamus species 3","Annonaceae","Goniothalamus","species 3","NA","50ha","unlogged"
"Goniothalamus uvarioides","Annonaceae","Goniothalamus","uvarioides","NA","50ha, CP","both"
"Goniothalamus woodii","Annonaceae","Goniothalamus","woodii","NA","50ha","unlogged"
"Gonocaryum calleryanum","Cardiopteridaceae","Gonocaryum","calleryanum","NA","50ha","unlogged"
"Gonocaryum macrophyllum","Cardiopteridaceae","Gonocaryum","macrophyllum","NA","50ha","unlogged"
"Gonystylus keithii","Thymelaeaceae","Gonystylus","keithii","NA","50ha","unlogged"
"Guioa pleuropteris","Sapindaceae","Guioa","pleuropteris","NA","50ha, CP","both"
"Hancea penangensis","Euphorbiaceae","Hancea","penangensis","NA","50ha","unlogged"
"Harpullia arborea","Sapindaceae","Harpullia","arborea","NA","50ha","unlogged"
"Harpullia species 1","Sapindaceae","Harpullia","species 1","NA","50ha","unlogged"
"Helicia excelsa","Proteaceae","Helicia","excelsa","NA","50ha, CP","both"
"Helicia robusta","Proteaceae","Helicia","robusta","NA","50ha, CP","both"
"Heliciopsis artocarpoides","Proteaceae","Heliciopsis","artocarpoides","NA","50ha","unlogged"
"Heritiera elata","Malvaceae","Heritiera","elata","NA","50ha","unlogged"
"Homalium foetidum","Salicaceae","Homalium","foetidum","NA","50ha","unlogged"
