species,reference,fruit_size_mm,fruit_size_min_mm,tdwg_l3
Ficus sulcata,Berg (2005) Fl. Males.,25,10,Philippines
Ficus sumatrana,Berg (2005) Fl. Males.,10,3,Sumatra
Ficus sumatrana,Berg (2005) Fl. Males.,10,3,Java
Ficus sumatrana,Berg (2005) Fl. Males.,10,3,Borneo
Ficus sumatrana,Berg (2005) Fl. Males.,10,3,Philippines
Ficus sumatrana,Berg (2005) Fl. Males.,10,3,Sulawesi
Ficus sundaica,Berg (2005) Fl. Males.,20,8,Sumatra
Ficus sundaica,Berg (2005) Fl. Males.,20,8,Java
Ficus sundaica,Berg (2005) Fl. Males.,20,8,Borneo
Ficus sundaica,Berg (2005) Fl. Males.,20,8,Philippines
Ficus sundaica,Berg (2005) Fl. Males.,20,8,Lesser Sundas
Ficus superba,Berg (2005) Fl. Males.,15,8,Java
Ficus superba,Berg (2005) Fl. Males.,15,8,Lesser Sundas
Ficus superba,Berg (2005) Fl. Males.,15,8,Sulawesi
Ficus superba,Berg (2005) Fl. Males.,15,8,Maluku
Ficus supfiana,Berg (2005) Fl. Males.,20,7,New Guinea
Ficus supperforata,Berg (2005) Fl. Males.,8,5,Borneo
Ficus tarennifolia,Berg (2005) Fl. Males.,20,10,Borneo
Ficus temburongensis,Berg (2012) Blumea 57,12,10,Borneo
Ficus tenuicuspidata,Berg (2005) Fl. Males.,12,8,Sulawesi
Ficus ternatana,Berg (2005) Fl. Males.,20,15,Maluku
Ficus tinctoria,Berg (2005) Fl. Males.,15,8,Sumatra
Ficus tinctoria,Berg (2005) Fl. Males.,15,8,Java
Ficus tinctoria,Berg (2005) Fl. Males.,15,8,Borneo
Ficus tinctoria,Berg (2005) Fl. Males.,15,8,Lesser Sundas
Ficus tinctoria,Berg (2005) Fl. Males.,15,8,Philippines
Ficus tinctoria,Berg (2005) Fl. Males.,15,8,Sulawesi
Ficus tinctoria,Berg (2005) Fl. Males.,15,8,New Guinea
Ficus tonsa,Berg (2005) Fl. Males.,20,8,Sulawesi
Ficus trachycoma,Berg (2005) Fl. Males.,40,35,Java
Ficus trachypison,Berg (2005) Fl. Males.,12,4,Sulawesi
Ficus trachypison,Berg (2005) Fl. Males.,12,4,Maluku
Ficus treubii,Berg (2005) Fl. Males.,16,8,Borneo
Ficus trichocarpa,Berg (2005) Fl. Males.,20,8,Sumatra
Ficus trichocarpa,Berg (2005) Fl. Males.,20,8,Java
Ficus trichocarpa,Berg (2005) Fl. Males.,20,8,Borneo
Ficus trichocarpa,Berg (2005) Fl. Males.,20,8,Philippines
Ficus trichocarpa,Berg (2005) Fl. Males.,20,8,Lesser Sundas
Ficus trichocerasa,Berg (2005) Fl. Males.,20,8,New Guinea
Ficus tricolor,Berg (2005) Fl. Males.,18,5,Sumatra
Ficus tricolor,Berg (2005) Fl. Males.,18,5,Borneo
Ficus tricolor,Berg (2005) Fl. Males.,18,5,Java
Ficus tristaniifolia,Berg (2005) Fl. Males.,10,8,Borneo
Ficus tulipifera,Berg (2005) Fl. Males.,25,15,Borneo
Ficus ulmifolia,Berg (2005) Fl. Males.,13,5,Philippines
Ficus umbonata,Berg (2005) Fl. Males.,13,10,New Guinea
Ficus uncinata,Berg (2005) Fl. Males.,40,10,Borneo
Ficus uncinata,Berg (2005) Fl. Males.,40,10,Sumatra
Ficus uniglandulosa,Berg (2005) Fl. Males.,8,3,Sumatra
Ficus uniglandulosa,Berg (2005) Fl. Males.,8,3,Borneo
Ficus uniglandulosa,Berg (2005) Fl. Males.,8,3,Philippines
Ficus uniglandulosa,Berg (2005) Fl. Males.,8,3,Maluku
Ficus vasculosa,Berg (2005) Fl. Males.,10,5,Sumatra
Ficus vasculosa,Berg (2005) Fl. Males.,10,5,Java
Ficus vasculosa,Berg (2005) Fl. Males.,10,5,Borneo
Ficus villosa,Berg (2005) Fl. Males.,18,3,Sumatra
Ficus villosa,Berg (2005) Fl. Males.,18,3,Java
Ficus villosa,Berg (2005) Fl. Males.,18,3,Borneo
Ficus villosa,Berg (2005) Fl. Males.,18,3,Philippines
Ficus villosa,Berg (2005) Fl. Males.,18,3,Sulawesi
Ficus villosa,Berg (2005) Fl. Males.,18,3,Maluku
Ficus virens,Berg (2005) Fl. Males.,10,4,Philippines
Ficus virens,Berg (2005) Fl. Males.,10,4,Sumatra
Ficus virens,Berg (2005) Fl. Males.,10,4,Java
Ficus virens,Berg (2005) Fl. Males.,10,4,Borneo
Ficus virens,Berg (2005) Fl. Males.,10,4,Sulawesi
Ficus virens,Berg (2005) Fl. Males.,10,4,New Guinea
Ficus virens,Berg (2005) Fl. Males.,10,4,Lesser Sundas
Ficus virescens,Berg (2005) Fl. Males.,22,14,Borneo
Ficus virgata,Berg (2005) Fl. Males.,15,3,Borneo
Ficus virgata,Berg (2005) Fl. Males.,15,3,Philippines
Ficus virgata,Berg (2005) Fl. Males.,15,3,Sulawesi
Ficus virgata,Berg (2005) Fl. Males.,15,3,Lesser Sundas
Ficus virgata,Berg (2005) Fl. Males.,15,3,New Guinea
Ficus vrieseana,Berg (2005) Fl. Males.,25,8,Sumatra
Ficus vrieseana,Berg (2005) Fl. Males.,25,8,Java
Ficus wamanguana,Harvard Pap. Bot. 15: 7 (2010),1.7,1.2,New Guinea
Ficus warburgii,Berg (2005) Fl. Males.,10,7,Philippines
Ficus wassa,Berg (2005) Fl. Males.,30,5,Lesser Sundas
Ficus wassa,Berg (2005) Fl. Males.,30,5,New Guinea
Ficus xylophylla,Berg (2005) Fl. Males.,50,20,Sumatra
Ficus xylophylla,Berg (2005) Fl. Males.,50,20,Borneo
Decaspermum alpinum,Scott (1985),10,3,New Guinea
Decaspermum arfakense,Scott (1985),5,4,New Guinea
Decaspermum belense,Scott (1985),5,3,New Guinea
Decaspermum blancoi,Scott (1980),5,4,Philippines
Decaspermum bracteatum,Scott (1985),8,5,New Guinea
Decaspermum exiguum,Scott (1985),5,4,New Guinea
Decaspermum forbesii,Scott (1985),4,3,New Guinea
Decaspermum lorentzii,Scott (1985),3,3,New Guinea
Decaspermum neurophyllum,Scott (1985),8,4,New Guinea
Decaspermum nitentifolium,Scott (1985),7,3,New Guinea
Decaspermum nivale,Scott (1985),4,3,New Guinea
Decaspermum parviflorum,Scott (1980)_Scott (1979),5,3,Sumatra
Decaspermum parviflorum,Scott (1980)_Scott (1979),5,3,Borneo
Decaspermum parviflorum,Scott (1980)_Scott (1979),5,3,Java
Decaspermum parviflorum,Scott (1980)_Scott (1979),5,3,Sulawesi
Decaspermum parviflorum,Scott (1980)_Scott (1979),5,3,Philippines
Decaspermum triflorum,Scott (1980),6,4,Lesser Sundas
Decaspermum vitis-idaea,Scott (1980),4,3,Borneo
Decaspermum vitis-idaea,Scott (1980),4,3,Sulawesi
Decaspermum vitis-idaea,Scott (1980),4,3,Philippines
Eucalyptus alba,Chippendale (1988) Fl. Austr.,8,4,Lesser Sundas
Eucalyptus alba,Chippendale (1988) Fl. Austr.,8,4,New Guinea
Eucalyptus biterranea,Telopea 8: 505 (2000),11,7,New Guinea
Eucalyptus brassiana,Chippendale (1988) Fl. Austr.,14,6,New Guinea
Eucalyptus orophila,Pryor et al. (1995) Austral. Syst. Bot. 8,10,7,Lesser Sundas
Eucalyptus tereticornis,Chippendale (1988) Fl. Austr.,8,4,New Guinea
Eucalyptus urophylla,Austrobaileya 1: 7 (1977)_Pryor et al. (1995) Austral. Syst. Bot. 8,12,6,Lesser Sundas
Eucalyptus wetarensis,Pryor et al. (1995) Austral. Syst. Bot. 8,15,8,Lesser Sundas
Syzygium acuminatissimum,Hartley and Craven 1977,40,15,Philippines
Syzygium acuminatissimum,Hartley and Craven 1977,40,15,Borneo
Syzygium acuminatissimum,Hartley and Craven 1977,40,15,Java
Syzygium acuminatissimum,Hartley and Craven 1977,40,15,Sumatra
Syzygium acuminatissimum,Hartley and Craven 1977,40,15,Lesser Sundas
Syzygium acuminatissimum,Hartley and Craven 1977,40,15,New Guinea
Syzygium acuminatissimum,Hartley and Craven 1977,40,15,Sulawesi
Syzygium anthicoides,Ashton 2006,8,8,Borneo
Syzygium attenuatum,Hartley and Perry 1973,13,5,Borneo
Syzygium attenuatum,Hartley and Perry 1973,13,5,Java
Syzygium attenuatum,Hartley and Perry 1973,13,5,New Guinea
Syzygium attenuatum,Craven 2019_Perikion,13,5,Borneo
Syzygium attenuatum,Craven 2019_Perikion,13,5,Java
Syzygium attenuatum,Craven 2019_Perikion,13,5,New Guinea
Syzygium balgooyi,Brambach 2017_Syz,33,12,Sulawesi
Syzygium barringtonioides,Ashton 2006,18,18,Borneo
Syzygium bicostatum,Ashton 2006,12,6,Borneo
Syzygium bowersiae,Craven et al. 2021_furfuraceous,10,7,New Guinea
Syzygium brandehorstii,Craven et al. 2021_furfuraceous,50,14,New Guinea
Syzygium buettnerianum,Craven et al. 2021_furfuraceous,17,8,New Guinea
Syzygium bujangii,Ashton 2006,25,25,Borneo
Syzygium calcimontanum,Ashton 2006,17,17,Borneo
Syzygium castaneum,Ashton 2006,11,11,Borneo
Syzygium cavitense,Merrill 1950_Philippines,10,7,Philippines
Syzygium chaii,Ashton 2006,8,8,Borneo
Syzygium chrysanthum,Merrill and Perry 1939_Syz Borneo,4,4,Borneo
Syzygium claviflorum,Craven 2019_Perikion,14,9,New Guinea
Syzygium comosum,Widodo and Chikmawati 2016,20,20,Sumatra
Syzygium contiguum,Brambach 2017_Syz,1.9,1.1,Sulawesi
Syzygium devogelii,Brambach 2017_Syz,25,20,Sulawesi
Syzygium fazangii,Craven et al. 2021_furfuraceous,45,20,New Guinea
Syzygium foremanii,Craven et al. 2021_furfuraceous,18,15,New Guinea
Syzygium fossiramulosum,Ashton 2006,25,10,Borneo
Syzygium fulvotomentosum,Ashton 2006,20,18,Borneo
Syzygium furfuraceum,Craven et al. 2021_furfuraceous,30,15,New Guinea
Syzygium garcinifolium,Ashton 2006,10,10,Sumatra
Syzygium garcinifolium,Ashton 2006,10,10,Borneo
Syzygium goniocalyx,Hartley and Perry 1973; Merrill and Perry 1972,30,20,New Guinea
Syzygium hartleyi,Craven et al. 2021_furfuraceous,10,8,New Guinea
Syzygium hooglandii,Craven et al. 2021_furfuraceous,14,10,New Guinea
Syzygium idrissii,Ashton 2006,10,10,Borneo
Syzygium iliasii,Ashton 2006,12,8,Borneo
Syzygium imperialis,Ashton 2006,11,10,Borneo
Syzygium irosinense,Merrill 1950_Philippines,15,15,Philippines
Syzygium jiewhoei,Hambali et al. 2017,6,4,New Guinea
Syzygium khoonmengianum,Ashton 2006,10,10,Borneo
Syzygium kihamense,Merrill and Perry 1939_Syz Borneo,7,5,Borneo
Syzygium kuiense,Conn and Damas 2015,30,25,New Guinea
Syzygium kul,Craven et al. 2021_furfuraceous,20,15,New Guinea
Syzygium lababiense,Conn and Damas 2015,20,18,New Guinea
Syzygium lambirense,Ashton 2006,13,10,Borneo
Syzygium leptophlebioides,Craven et al. 2021_furfuraceous,14,12,New Guinea
Syzygium leptopodium,Hartley and Perry 1973,12,6,New Guinea
Syzygium leptopodium,Craven 2019_Perikion,12,6,New Guinea
Syzygium longipetiolatum,Widodo and Chikmawati 2016,15,10,Sumatra
Syzygium lorofolium,Merrill 1950_Philippines,20,20,Philippines
Syzygium megistophyllum,Craven et al. 2021_furfuraceous,75,45,New Guinea
Syzygium millariae,Craven et al. 2021_furfuraceous,7.5,6,New Guinea
Syzygium monticola,Merrill and Perry 1939_Syz Borneo,10,10,Borneo
Syzygium montis-venetus,Craven et al. 2021_furfuraceous,20,11,New Guinea
Syzygium myrtilloides,Merrill and Perry 1939_Syz Borneo,15,15,Borneo
Syzygium nigricans,Ashton 2006,22,20,Borneo
Syzygium nigropunctatum,Merrill and Perry 1939_Syz Borneo,4,3.5,Borneo
Syzygium obliquinervium,Merrill 1950_Philippines,30,18,Philippines
Syzygium oransbariense,Mustaqim et al. 2020,26,26,New Guinea
Syzygium pachysepalum,Merrill and Perry 1939_Syz Borneo,7,7,Borneo
Syzygium petakense,Merrill and Perry 1939_Syz Borneo,4,3,Borneo
Syzygium phryganodes,Merrill and Perry 1939_Syz Borneo,6,6,Borneo
Syzygium platycarpum,Conn and Damas 2015,20,15,New Guinea
Syzygium pterotum,Conn and Damas 2015,30,15,New Guinea
Syzygium purpuricarpum,Snow and Craven 2010,23,19,New Guinea
Syzygium pyrocarpum,Hartley and Perry 1973,28,23,New Guinea
Syzygium pyrocarpum,Craven et al. 2021_furfuraceous,28,23,New Guinea
Syzygium quadricostatum,Ashton 2006,8,8,Borneo
Syzygium rheophyticum,Ashton 2006,12,6,Borneo
Syzygium ridsdalei,Snow and Craven 2010,35,14,New Guinea
Syzygium sambogense,Craven et al. 2021_furfuraceous,20,15,New Guinea
Syzygium selukaifolium,Ashton 2006,13,13,Borneo
Syzygium silamense,Ashton 2006,5,4,Borneo
Syzygium sorongense,Hartley and Craven 1977,20,20,New Guinea
Syzygium steenisii,Merrill and Perry 1939_Syz Borneo,5,5,Borneo
Syzygium subamplexicaule,Hartley and Perry 1973,17,6,New Guinea
Syzygium subamplexicaule,Craven 2019_Perikion,17,6,New Guinea
Syzygium suberosum,Craven 2019_Perikion,28,5,New Guinea
Syzygium takeuchii,Craven et al. 2021_furfuraceous,30,25,New Guinea
Syzygium tenuilimbum,Ashton 2006,14,14,Borneo
Syzygium thornei,Craven et al. 2021_furfuraceous,15,7,New Guinea
Syzygium treubii,Merrill and Perry 1939_Syz Borneo,6,5,Borneo
Syzygium triphlebium,Hartley and Craven 1977,10,10,New Guinea
Syzygium ultramaficum,Ashton 2006,50,50,Borneo
Syzygium valdecoriaceum,Ashton 2006,15,15,Borneo
Syzygium valdepunctatum,Merrill 1950_Philippines,5,5,Philippines
Syzygium vulcanicum,Merrill 1950_Philippines,20,15,Philippines
Syzygium zhengei,Craven et al. 2006_Blumea; Hartley and Craven 1977,35,25,New Guinea
Chionanthus balgooyanus,Tree Fl. Sabah & Sarawak 4 (2002),9,6,Borneo
Chionanthus callophylloides,Tree Fl. Sabah & Sarawak 4 (2002),30,15,Borneo
Chionanthus callophyllus,Tree Fl. Sabah & Sarawak 4 (2002),25,20,Sumatra
Chionanthus callophyllus,Tree Fl. Sabah & Sarawak 4 (2002),25,20,Borneo
Chionanthus celebicus,Kiew (2015) Reinwardtia 14,16,14,Sulawesi
Chionanthus cordulatus,Tree Fl. Sabah & Sarawak 4 (2002),28,23,Borneo
Chionanthus cordulatus,Tree Fl. Sabah & Sarawak 4 (2002),28,23,Sulawesi
Chionanthus coriaceus,"Fl. Taiwan, ed. 2, 4: 129 (1998)",22,16,Philippines
Chionanthus crispus,Tree Fl. Sabah & Sarawak 4 (2002),12,8,Borneo
Chionanthus curvicarpus,Tree Fl. Sabah & Sarawak 4 (2002),25,17,Borneo
Chionanthus curvicarpus,Tree Fl. Sabah & Sarawak 4 (2002),25,17,Sumatra
Chionanthus cuspidatus,Kiew (1980) in Malasian Forestry 43,25,18,Borneo
Chionanthus enerve,Kiew (1983) J. Arnold Arbor 64,7,3,Borneo
Chionanthus evenius,Tree Fl. Sabah & Sarawak 4 (2002),45,20,Sumatra
Chionanthus evenius,Tree Fl. Sabah & Sarawak 4 (2002),45,20,Borneo
Chionanthus globosus,Tree Fl. Sabah & Sarawak 4 (2002),25,20,Borneo
Chionanthus grandifolius,Kiew (1984) Gard. Bull. Singapore 37,19,17,Philippines
Chionanthus havilandii,Tree Fl. Sabah & Sarawak 4 (2002),25,18,Borneo
Chionanthus kinabaluensis,Tree Fl. Sabah & Sarawak 4 (2002),15,10,Borneo
Chionanthus kostermansii,Kiew (2015) Reinwardtia 14,20,16,Sulawesi
Chionanthus kostermansii,Kiew (2015) Reinwardtia 14,20,16,Lesser Sundas
Chionanthus leopoldii,Tree Fl. Sabah & Sarawak 4 (2002),18,16,Borneo
Chionanthus lucens,Tree Fl. Sabah & Sarawak 4 (2002),15,9,Borneo
Chionanthus macrocarpus,Tree Fl. Sabah & Sarawak 4 (2002),45,25,Sumatra
Chionanthus macrocarpus,Tree Fl. Sabah & Sarawak 4 (2002),45,25,Borneo
Chionanthus macrocarpus,Tree Fl. Sabah & Sarawak 4 (2002),45,25,Java
Chionanthus montanus,Bijdr. Fl. Ned. Ind. 13: 681 (1826)_Meded. Lands Plantentuin 59 (1902),15,8,Java
Chionanthus nitens,Meded. Lands Plantentuin 59 (1902),15,13,Java
Chionanthus oblongifolius,Meded. Lands Plantentuin 59 (1902),12,6,Java
Chionanthus oliganthus,Kiew (1980) in Malasian Forestry 43,15,10,Borneo
Chionanthus pachyphyllus,Tree Fl. Sabah & Sarawak 4 (2002),15,15,Borneo
Chionanthus palustris,Tree Fl. Sabah & Sarawak 4 (2002),20,15,Borneo
Chionanthus plurifloroides,Tree Fl. Sabah & Sarawak 4 (2002),15,14,Borneo
Chionanthus pluriflorus,Tree Fl. Sabah & Sarawak 4 (2002),26,19,Borneo
Chionanthus polycephalus,Tree Fl. Sabah & Sarawak 4 (2002),25,17,Borneo
Chionanthus polygamus,Tree Fl. Sabah & Sarawak 4 (2002),12,8,Sumatra
Chionanthus polygamus,Tree Fl. Sabah & Sarawak 4 (2002),12,8,Borneo
Chionanthus polygamus,Tree Fl. Sabah & Sarawak 4 (2002),12,8,Sulawesi
Chionanthus polygamus,Tree Fl. Sabah & Sarawak 4 (2002),12,8,New Guinea
Chionanthus porcatus,Tree Fl. Sabah & Sarawak 4 (2002),65,25,Borneo
Chionanthus pubicalyx,Tree Fl. Sabah & Sarawak 4 (2002),20,17,Borneo
Chionanthus remotinervius,"Kiew (1998)_Philipp. J. Sci., Bot. 13(1918) 324",14,14,Philippines
Chionanthus rugosus,Tree Fl. Sabah & Sarawak 4 (2002),7,5,Borneo
Chionanthus sabahensis,Tree Fl. Sabah & Sarawak 4 (2002),23,23,Borneo
Chionanthus salicifolius,Bot. Jahrb. 61 (1927),10,5,New Guinea
Chionanthus sordidus,Kiew (2015) Reinwardtia 14,22,18,Sulawesi
Chionanthus spicatus,Tree Fl. Sabah & Sarawak 4 (2002),18,18,Borneo
Chionanthus spicatus,Tree Fl. Sabah & Sarawak 4 (2002),18,18,Philippines
Chionanthus stenurus,Kiew (2015) Reinwardtia 14,18,15,Sulawesi
Chionanthus sulawesicus,Kiew (2015) Reinwardtia 14,30,11,Sulawesi
Chionanthus timorensis,Mus. Bot. 1(20): 318 (1851)_from specimen L0005327,17,17,Lesser Sundas
Chionanthus zollingerianus,Meded. Lands Plantentuin 59 (1902),25,10,Lesser Sundas
Urobotrya floresensis,Hiepko (1984) Fl. Males.,16,7,Lesser Sundas
Urobotrya parviflora,Hiepko (1984) Fl. Males.,13,8.5,Borneo
Freycinetia abbreviata,Notizbl. Bot. Gart. Berlin-Dahlem 10: 769 (1929),4,3,Lesser Sundas
Freycinetia acicularis,Huynh (1999) Bot. Jahrb. Syst. 121,27,25,New Guinea
Freycinetia aculeata,Sinaga (2010) Reinwardtia 13,40,10,New Guinea
Freycinetia acutifolia,Merrill (1918) Philipp. J. Sci. 13,110,15,Philippines
Freycinetia andajensis,Martelli (1910) Webbia 3_from specimen FI013562,120,15,New Guinea
Freycinetia angakumiana,Huynh (2002) Candollea 57,12,12,New Guinea
Freycinetia angulata,Martelli (1910) Webbia 3,70,20,Philippines
Freycinetia angustifolia,Stone (1970) Gard. Bull. Singapore 25_Pasaribu & Widjaja (2009),33,23,Borneo
Freycinetia angustifolia,Stone (1970) Gard. Bull. Singapore 25_Pasaribu & Widjaja (2009),33,23,Sumatra
Freycinetia angustifolia,Stone (1970) Gard. Bull. Singapore 25_Pasaribu & Widjaja (2009),33,23,Java
Freycinetia angustifolia,Stone (1970) Gard. Bull. Singapore 25_Pasaribu & Widjaja (2009),33,23,Philippines
Freycinetia angustissima,J. Bot. 24: 359 (1886)_Merrill & Perry (1940) J. Arnorld Arb. 21_Stone (1967) Gard. Bull. Singapore 22,25,25,New Guinea
Freycinetia apayaoensis,Merrill (1918) Philipp. J. Sci. 13,8,2,Philippines
Freycinetia apoensis,Martelli (1911) Leafl. Philipp. Bot. 3,25,10,Philippines
Freycinetia archboldiana,Merrill & Perry (1939) J. Arnorld Arb. 20,100,1.5,New Guinea
Freycinetia arfakiana,Martelli (1910) Webbia 3_from specimen FI013567,70,10,New Guinea
Freycinetia atocensis,Martelli (1910) Webbia 3,80,25,Philippines
Freycinetia bassa,Huynh (2002) Candollea 57,60,25,New Guinea
Freycinetia beccarii,Keim (2009) Blumea 54,20,10,New Guinea
Freycinetia berbakensis,Reinwardtia 12: 441 (2009),32,5,Sumatra
Freycinetia biloba,Stone (1970) Gard. Bull. Singapore 25,30,8,Borneo
Freycinetia biroi,"Callmader et al (2021) Willdenowia 51(1)_Fl. Schutzgeb. Südsee, Nachtr.: 52 (1905)",40,15,New Guinea
Freycinetia bismarckensis,Huynh (2001) Bot. Jahrb. 123,15,9,New Guinea
Freycinetia bomberaiensis,Huynh (2002) Bot. Jahrb. Syst. 124,18,9,New Guinea
Freycinetia borneensis,Martelli (1910) Webbia 3_from specimen L.1193672,12,12,Borneo
Freycinetia bosaviensis,Huynh (2002) Candollea 57,30,15,New Guinea
Freycinetia brassii,Merrill & Perry (1939) J. Arnorld Arb. 20,30,13,New Guinea
Freycinetia breviauriculata,Huynh (2001) Bot. Jahrb. 123,20,10,New Guinea
Freycinetia brevis,Huynh (2000) Candollea 55,15,10,New Guinea
Freycinetia bulusanensis,Merrill (1918) Philipp. J. Sci. 13,25,15,Philippines
Freycinetia carnosa,Huynh (1999) Bot. Jahrb. Syst. 121,18,12,New Guinea
Freycinetia celebica,Linnaea 42(1): 103 (1878)_F. candeliformis data,80,30,Sulawesi
Freycinetia chartacea,Huynh (2000) Candollea 55,14,7,New Guinea
Freycinetia circuita,Sinanga (2013) Reinwardtia 13,120,20,New Guinea
Freycinetia concolor,Huynh (2000) Candollea 55,40,15,New Guinea
Freycinetia confusa,Stone (1970) Gard. Bull. Singapore 25,14,14,Borneo
Freycinetia confusa,Stone (1970) Gard. Bull. Singapore 25,14,14,Sumatra
Freycinetia corneri,Stone (1968) Brittonia 20_Stone (1970) Gard. Bull. Singapore 25,45,40,Borneo
Freycinetia creaghi,Stone (1970) Gard. Bull. Singapore 25,25,15,Borneo
Freycinetia crucigera,Kanehira (1941) Bot. Mag. (Tokyo) 55,16,16,New Guinea
Freycinetia cultella,Stone (1969) Webbia 23,60,18,Philippines
Freycinetia cumingiana,Martelli (1910) Webbia 3,18,9,Philippines
Freycinetia curvata,Huynh (2001) Bot. Jahrb. 123,70,12,New Guinea
Freycinetia daymanensis,Huynh (2003) Bot. Jahrb. Syst. 125,65,20,New Guinea
Freycinetia devriesei,Linnaea 42: 96 (1878)_from specimen L0332745,35,16,Maluku
Freycinetia devriesei,Linnaea 42: 96 (1878)_from specimen L0332745,35,16,Sulawesi
Freycinetia dewildeorum,Pasaribu (2010) Reinwardtia 13,65,14,Sumatra
Freycinetia discoidea,Martelli (1911) Leafl. Philipp. Bot. 3_Stone (1970) Gard. Bull. Singapore 25,50,14,Philippines
Freycinetia discoidea,Martelli (1911) Leafl. Philipp. Bot. 3_Stone (1970) Gard. Bull. Singapore 25,50,14,Borneo
Freycinetia dissita,Huynh (1999) Bot. Jahrb. Syst. 121,15,9,New Guinea
Freycinetia dubia,Martelli (1910) Webbia 3,10,5,Maluku
Freycinetia elegantula,Stone (1967) Gard. Bull. Singapore 22,12,12,New Guinea
Freycinetia ellipticifolia,Huynh (1999) Bot. Jahrb. Syst. 121,25,15,New Guinea
Freycinetia erythrophylla,Huynh (2002) Bot. Jahrb. Syst. 124,90,23,New Guinea
Freycinetia erythrospatha,Merrill & Perry (1940) J. Arnorld Arb. 21,10,5,New Guinea
Freycinetia excelsa,Fragm. 5: 39 (1865)_from specimen K000348958,64,38,New Guinea
Freycinetia fibrosa,J. Arnold Arbor. 10: 138 (1929),35,15,New Guinea
Freycinetia filifolia,Huynh (1999) Bot. Jahrb. Syst. 121,6,4,New Guinea
Freycinetia flaviceps,Contrib. Phytogeography and Fl. of the Arfak (1917) 88,15,15,New Guinea
Freycinetia forbesii,Merrill & Perry (1939) J. Arnorld Arb. 20_J. Bot. 24: 359 (1886),18,18,New Guinea
Freycinetia formosana,Bull. Misc. Inform. Kew 1896: 166 (1896)_Flora of China 23,110,15,Philippines
Freycinetia frutaspiralica,Sinanga (2013) Reinwardtia 13,50,15,New Guinea
Freycinetia frutonumerata,Sinanga (2013) Reinwardtia 13,12,3,New Guinea
Freycinetia funicularis,Stone (1967) Gard. Bull. Singapore 22_Merrill & Perry (1939) J. Arnorld Arb. 20_from specimen L0050401,120,20,Maluku
Freycinetia funicularis,Stone (1967) Gard. Bull. Singapore 22_Merrill & Perry (1939) J. Arnorld Arb. 20_from specimen L0050401,120,20,New Guinea
Freycinetia fusiforma,Sinanga (2013) Reinwardtia 13,20,15,New Guinea
Freycinetia gibbsiae,Contrib. Phytogeography and Fl. of the Arfak (1917) 88_Kanehira (1941) Bot. Mag. (Tokyo) 55,17,11,New Guinea
Freycinetia gitingiana,Martelli (1911) Leafl. Philipp. Bot. 3,120,40,Philippines
Freycinetia glaucescens,Huynh (2001) Bot. Jahrb. 123,60,18,New Guinea
Freycinetia glaucifolia,Huynh (1999) Bot. Jahrb. Syst. 121,55,20,New Guinea
Freycinetia glomerosa,Huynh (1999) Bot. Jahrb. Syst. 121,15,15,New Guinea
Freycinetia gunungmejensis,Sinaga (2010) Reinwardtia 13,4,1.2,New Guinea
Freycinetia hagenicola,Huynh (2002) Candollea 57,40,22,New Guinea
Freycinetia hemsleyi,Stone (1970) Gard. Bull. Singapore 25,15,7,Borneo
Freycinetia herzogensis,Huynh (2001) Bot. Jahrb. 123,40,30,New Guinea
Freycinetia imbricata,Stone (1970) Gard. Bull. Singapore 25_Pasaribu & Widjaja (2009),45,25,Borneo
Freycinetia imbricata,Stone (1970) Gard. Bull. Singapore 25_Pasaribu & Widjaja (2009),45,25,Sumatra
Freycinetia imbristigma,Sinanga (2013) Reinwardtia 13,100,20,New Guinea
Freycinetia inermis,"Trans. Linn. Soc. London, Bot. 9(1): 236 (1916)_Merrill & Perry (1939) J. Arnorld Arb. 20_Stone (1970) Kew Bull. 24",20,10,New Guinea
Freycinetia insueta,Huynh (2003) Bot. Jahrb. Syst. 125,27,16,New Guinea
Freycinetia jaheriana,Martelli (1910) Webbia 3,35,7,New Guinea
Freycinetia javanica,Stone (1970) Gard. Bull. Singapore 25_Pasaribu & Widjaja (2009),50,25,Sumatra
Freycinetia javanica,Stone (1970) Gard. Bull. Singapore 25_Pasaribu & Widjaja (2009),50,25,Java
Freycinetia javanica,Stone (1970) Gard. Bull. Singapore 25_Pasaribu & Widjaja (2009),50,25,Borneo
Freycinetia kalimantanica,Stone (1970) Gard. Bull. Singapore 25,40,15,Borneo
Freycinetia kamialiensis,Huynh (2003) Bot. Jahrb. Syst. 125,35,25,New Guinea
Freycinetia kamiana,Stone (1970) Gard. Bull. Singapore 25_Pasaribu & Widjaja (2009),50,10,Sumatra
Freycinetia kartawinatae,Keim (2009) Reinwardtia 13,90,30,Borneo
Freycinetia kaugelensis,Huynh (2002) Bot. Jahrb. Syst. 124,25,15,New Guinea
Freycinetia kinabaluana,Stone (1970) Gard. Bull. Singapore 25,60,35,Borneo
Freycinetia klossii,Merrill & Perry (1939) J. Arnorld Arb. 20_Kanehira (1941) Bot. Mag. (Tokyo) 55,45,20,New Guinea
Freycinetia koordersiana,Martelli (1910) Webbia 3,60,8,Sulawesi
Freycinetia kopiagoensis,Huynh (2001) Bot. Jahrb. 123,9,6,New Guinea
Freycinetia kostermansii,Stone (1962) J. Arnold Arbor. 43,80,30,Maluku
