"binomial_name","family","genus","species","species_origin","logging_status","history_at_IF_site","history_at_CP_site","fruit_size_mm","fruit_size_min_mm","fruit_size_reference"
"Diospyros elliptifolia","Ebenaceae","Diospyros","elliptifolia","CP, 50ha","both",NA,"AR, NR",NA,NA,NA
"Diospyros euphlehia","Ebenaceae","Diospyros","euphlehia","CP, 50ha","both",NA,"AR",NA,NA,NA
"Diospyros frutescens","Ebenaceae","Diospyros","frutescens","CP, 50ha","both",NA,"NR",NA,NA,NA
"Diospyros peregrina","Ebenaceae","Diospyros","peregrina","CP, 50ha","both",NA,"AR, NR",NA,NA,NA
"Diospyros muricata","Ebenaceae","Diospyros","muricata","CP, 50ha","both",NA,"AR",NA,NA,NA
"Diospyros oblonga","Ebenaceae","Diospyros","oblonga","CP, 50ha","both",NA,"AR, NR",NA,NA,NA
"Diospyros pyrrhocarpa","Ebenaceae","Diospyros","pyrrhocarpa","50ha","unlogged",NA,NA,NA,NA,NA
"Diospyros species 1","Ebenaceae","Diospyros","species 1","50ha","unlogged",NA,NA,NA,NA,NA
"Diospyros species 2","Ebenaceae","Diospyros","species 2","50ha","unlogged",NA,NA,NA,NA,NA
"Diospyros species 3","Ebenaceae","Diospyros","species 3","50ha","unlogged",NA,NA,NA,NA,NA
"Diospyros species 4","Ebenaceae","Diospyros","species 4","50ha","unlogged",NA,NA,NA,NA,NA
"Diospyros species 6","Ebenaceae","Diospyros","species 6","50ha","unlogged",NA,NA,NA,NA,NA
"Diospyros species 7","Ebenaceae","Diospyros","species 7","50ha","unlogged",NA,NA,NA,NA,NA
"Diospyros squamifolia","Ebenaceae","Diospyros","squamifolia ","50ha","unlogged",NA,NA,NA,NA,NA
"Diospyros toposia","Ebenaceae","Diospyros","toposia","CP, 50ha","both",NA,"NR, AR",NA,NA,NA
"Diospyros tuberculata","Ebenaceae","Diospyros","tuberculata","CP, 50ha","both",NA,"NR, AR",NA,NA,NA
"Diospyros unknown mixed","Ebenaceae","Diospyros","unknown mixed","CP","logged",NA,"AR, NR",NA,NA,NA
"Diospyros wallichii","Ebenaceae","Diospyros","wallichii","50ha","unlogged",NA,NA,NA,NA,NA
"Discospermum malaccense","Rubiaceae","Discospermum","malaccense","CP, 50ha","both",NA,"AR, NR",NA,NA,NA
"Diplospora unknown mixed","Rubiaceae","Diplospora","unknown mixed","50ha","unlogged",NA,NA,NA,NA,NA
"Dipterocarpus applanatus","Dipterocarpaceae","Dipterocarpus","applanatus","CP","logged",NA,"AR, NR",NA,NA,NA
"Dipterocarpus caudifer","Dipterocarpaceae","Dipterocarpus","caudifer","CP, IF","logged","ActiveRestoration, NaturalRegeneration","AR, NR",NA,NA,NA
"Dipterocarpus unknown mixed","Dipterocarpaceae","Dipterocarpus","unknown mixed","CP","logged",NA,"AR, NR",NA,NA,NA
"Dracontomelon costatum","Anacardiaceae","Dracontomelon","costatum","50ha","unlogged",NA,NA,NA,NA,NA
"Dracontomelon dao","Anacardiaceae","Dracontomelon","dao","CP, 50ha","both",NA,"NR",NA,NA,NA
"Dracontomelon unknown mixed","Anacardiaceae","Dracontomelon","unknown mixed","50ha","unlogged",NA,NA,NA,NA,NA
"Drepananthus havilandii","Annonaceae","Drepananthus","havilandii","CP","logged",NA,"NR",NA,NA,NA
"Dryobalanops lanceolata","Dipterocarpaceae","Dryobalanops","lanceolata","CP, 50ha, IF","both","ActiveRestoration","AR, NR, no seedling data",NA,NA,NA
"Drypetes castilloi","Putranjivaceae","Drypetes","castilloi","CP, 50ha","both",NA,"NR",NA,NA,NA
"Drypetes eriocarpa","Putranjivaceae","Drypetes","eriocarpa","CP, 50ha","both",NA,"AR",NA,NA,NA
"Drypetes longifolia","Putranjivaceae","Drypetes","longifolia","CP, 50ha","both",NA,"AR, NR, no seedling data",NA,NA,NA
"Drypetes subcrenata","Putranjivaceae","Drypetes","subcrenata","50ha","unlogged",NA,NA,NA,NA,NA
"Drypetes unknown mixed","Putranjivaceae","Drypetes","unknown mixed","CP, 50ha","both",NA,"AR, NR",NA,NA,NA
"Duabanga moluccana","Lythraceae","Duabanga","moluccana","CP, 50ha","both",NA,"AR, NR",NA,NA,NA
"Durio graveolens","Malvaceae","Durio","graveolens","CP, 50ha","both",NA,"NR",NA,NA,NA
"Durio unknown mixed","Malvaceae","Durio","unknown mixed","CP, 50ha","both",NA,"AR",NA,NA,NA
"Prasoxylon alliaceum","Meliaceae","Prasoxylon","alliaceum","50ha","unlogged",NA,NA,NA,NA,NA
"Goniocheton arborescens","Meliaceae","Goniocheton","arborescens","50ha","unlogged",NA,NA,NA,NA,NA
"Epicharis cumingiana","Meliaceae","Epicharis","cumingiana","50ha","unlogged",NA,NA,NA,NA,NA
"Dysoxylum cyrtobotryum","Meliaceae","Dysoxylum","cyrtobotryum","CP, 50ha","both",NA,"NR, AR",NA,NA,NA
"Prasoxylon excelsum","Meliaceae","Prasoxylon","excelsum","50ha","unlogged",NA,NA,NA,NA,NA
"Didymocheton gaudichaudianus","Meliaceae","Didymocheton","gaudichaudianus","50ha","unlogged",NA,NA,NA,NA,NA
"Dysoxylum grande","Meliaceae","Dysoxylum","grande","50ha","unlogged",NA,NA,NA,NA,NA
"Dysoxylum oppositifolium","Meliaceae","Dysoxylum","oppositifolium","50ha","unlogged",NA,NA,NA,NA,NA
"Epicharis parasitica","Meliaceae","Epicharis","parasitica","50ha","unlogged",NA,NA,NA,NA,NA
"Prasoxylon rigidum","Meliaceae","Prasoxylon","rigidum","CP, 50ha","both",NA,"AR",NA,NA,NA
"Dysoxylum unknown mixed","Meliaceae","Dysoxylum","unknown mixed","CP, 50ha","both",NA,"NR, AR",NA,NA,NA
"Elaeocarpus brunnescens","Elaeocarpaceae","Elaeocarpus","brunnescens","50ha","unlogged",NA,NA,22,16,"Mark Coode data"
