"binomial_name","family","genus","species","species_origin","logging_status","flower_colour","flower_colour_reference"
"Fordia splendidissima","Fabaceae","Fordia","splendidissima","50ha","unlogged","",NA
"Fordia splendidissima","Fabaceae","Fordia","splendidissima","CP, 50ha","both","",NA
"Fordia unknown mixed","Fabaceae","Fordia","unknown mixed","CP","logged","",NA
"Galearia fulva","Pandaceae","Galearia","fulva","CP, 50ha","both","",NA
"Garcinia forbesii","Clusiaceae","Garcinia","forbesii","CP, 50ha","both","",NA
"Garcinia gaudichaudii","Clusiaceae","Garcinia","gaudichaudii","50ha","unlogged","",NA
"Garcinia nervosa","Clusiaceae","Garcinia","nervosa","CP, 50ha","both","",NA
"Garcinia parvifolia","Clusiaceae","Garcinia","parvifolia","50ha","unlogged","",NA
"Garcinia unknown mixed","Clusiaceae","Garcinia","unknown mixed","CP","logged","",NA
"Gardenia carinata","Rubiaceae","Gardenia","carinata","50ha","unlogged","",NA
"Gironniera nervosa","Cannabaceae","Gironniera","nervosa","CP, 50ha","both","",NA
"Gironniera species 1","Cannabaceae","Gironniera","species 1","50ha","unlogged","",NA
"Glochidion elmeri","Phyllanthaceae","Glochidion","elmeri","CP, 50ha","both","",NA
"Glochidion pubicapsa","Phyllanthaceae","Glochidion","pubicapsa","CP, 50ha","both","",NA
"Glochidion species 1","Phyllanthaceae","Glochidion","species 1","50ha","unlogged","",NA
"Glochidion species 2","Phyllanthaceae","Glochidion","species 2","50ha","unlogged","",NA
"Glochidion species 3","Phyllanthaceae","Glochidion","species 3","50ha","unlogged","",NA
"Glochidion species 4","Phyllanthaceae","Glochidion","species 4","50ha","unlogged","",NA
"Glochidion species 5","Phyllanthaceae","Glochidion","species 5","50ha","unlogged","",NA
"Glochidion unknown mixed","Phyllanthaceae","Glochidion","unknown mixed","CP, 50ha","both","",NA
"Glycosmis chlorosperma","Rutaceae","Glycosmis","chlorosperma","50ha","unlogged","",NA
"Glycosmis macrantha","Rutaceae","Glycosmis","macrantha","CP, 50ha","both","",NA
"Glycosmis unknown mixed","Rutaceae","Glycosmis","unknown mixed","50ha","unlogged","",NA
"Gomphandra quadrifida","Stemonuraceae","Gomphandra","quadrifida","50ha","unlogged","",NA
"Goniocheton arborescens","Meliaceae","Goniocheton","arborescens","50ha","unlogged","",NA
"Goniothalamus gigantifolius","Annonaceae","Goniothalamus","gigantifolius","50ha","unlogged","",NA
"Goniothalamus species 1","Annonaceae","Goniothalamus","species 1","50ha","unlogged","",NA
"Goniothalamus species 2","Annonaceae","Goniothalamus","species 2","50ha","unlogged","",NA
"Goniothalamus species 3","Annonaceae","Goniothalamus","species 3","50ha","unlogged","",NA
"Goniothalamus uvarioides","Annonaceae","Goniothalamus","uvarioides","CP, 50ha","both","",NA
"Goniothalamus woodii","Annonaceae","Goniothalamus","woodii","50ha","unlogged","",NA
"Gonocaryum calleryanum","Cardiopteridaceae","Gonocaryum","calleryanum","50ha","unlogged","",NA
"Gonocaryum macrophyllum","Cardiopteridaceae","Gonocaryum","macrophyllum","50ha","unlogged","",NA
"Gonystylus keithii","Thymelaeaceae","Gonystylus","keithii","50ha","unlogged","",NA
