"binomial_name","family","genus","species","history_at_IF_site","history_at_CP_site","species_origin","logging_status","dispersal_syndrome","Reference"
"Diospyros daemona","Ebenaceae","Diospyros","daemona",NA,NA,"50ha","unlogged",NA,NA
"Diospyros dictyoneura","Ebenaceae","Diospyros","dictyoneura",NA,"NR","CP, 50ha","both",NA,NA
"Diospyros diepenhorstii","Ebenaceae","Diospyros","diepenhorstii",NA,NA,"50ha","unlogged",NA,NA
"Diospyros elliptifolia","Ebenaceae","Diospyros","elliptifolia",NA,"AR, NR","CP, 50ha","both",NA,NA
"Diospyros euphlehia","Ebenaceae","Diospyros","euphlehia",NA,"AR","CP, 50ha","both",NA,NA
"Diospyros frutescens","Ebenaceae","Diospyros","frutescens",NA,"NR","CP, 50ha","both",NA,NA
"Diospyros peregrina","Ebenaceae","Diospyros","peregrina",NA,"AR, NR","CP, 50ha","both",NA,NA
"Diospyros muricata","Ebenaceae","Diospyros","muricata",NA,"AR","CP, 50ha","both",NA,NA
"Diospyros oblonga","Ebenaceae","Diospyros","oblonga",NA,"AR, NR","CP, 50ha","both",NA,NA
"Diospyros pyrrhocarpa","Ebenaceae","Diospyros","pyrrhocarpa",NA,NA,"50ha","unlogged",NA,NA
"Diospyros species 1","Ebenaceae","Diospyros","species 1",NA,NA,"50ha","unlogged",NA,NA
"Diospyros species 2","Ebenaceae","Diospyros","species 2",NA,NA,"50ha","unlogged",NA,NA
"Diospyros species 3","Ebenaceae","Diospyros","species 3",NA,NA,"50ha","unlogged",NA,NA
"Diospyros species 4","Ebenaceae","Diospyros","species 4",NA,NA,"50ha","unlogged",NA,NA
"Diospyros species 6","Ebenaceae","Diospyros","species 6",NA,NA,"50ha","unlogged",NA,NA
"Diospyros species 7","Ebenaceae","Diospyros","species 7",NA,NA,"50ha","unlogged",NA,NA
"Diospyros squamifolia","Ebenaceae","Diospyros","squamifolia ",NA,NA,"50ha","unlogged",NA,NA
"Diospyros toposia","Ebenaceae","Diospyros","toposia",NA,"NR, AR","CP, 50ha","both",NA,NA
"Diospyros tuberculata","Ebenaceae","Diospyros","tuberculata",NA,"NR, AR","CP, 50ha","both",NA,NA
"Diospyros unknown mixed","Ebenaceae","Diospyros","unknown mixed",NA,"AR, NR","CP","logged",NA,NA
"Diospyros wallichii","Ebenaceae","Diospyros","wallichii",NA,NA,"50ha","unlogged",NA,NA
"Discospermum malaccense","Rubiaceae","Discospermum","malaccense",NA,"AR, NR","CP, 50ha","both",NA,NA
"Diplospora unknown mixed","Rubiaceae","Diplospora","unknown mixed",NA,NA,"50ha","unlogged",NA,NA
"Dipterocarpus applanatus","Dipterocarpaceae","Dipterocarpus","applanatus",NA,"AR, NR","CP","logged",NA,NA
"Dipterocarpus caudifer","Dipterocarpaceae","Dipterocarpus","caudifer","ActiveRestoration, NaturalRegeneration","AR, NR","CP, IF","logged",NA,NA
"Dipterocarpus unknown mixed","Dipterocarpaceae","Dipterocarpus","unknown mixed",NA,"AR, NR","CP","logged",NA,NA
"Dracontomelon costatum","Anacardiaceae","Dracontomelon","costatum",NA,NA,"50ha","unlogged",NA,NA
"Dracontomelon dao","Anacardiaceae","Dracontomelon","dao",NA,"NR","CP, 50ha","both",NA,NA
"Dracontomelon unknown mixed","Anacardiaceae","Dracontomelon","unknown mixed",NA,NA,"50ha","unlogged",NA,NA
"Drepananthus havilandii","Annonaceae","Drepananthus","havilandii",NA,"NR","CP","logged",NA,NA
"Dryobalanops lanceolata","Dipterocarpaceae","Dryobalanops","lanceolata","ActiveRestoration","AR, NR, no seedling data","CP, 50ha, IF","both",NA,NA
"Drypetes castilloi","Putranjivaceae","Drypetes","castilloi",NA,"NR","CP, 50ha","both",NA,NA
"Drypetes eriocarpa","Putranjivaceae","Drypetes","eriocarpa",NA,"AR","CP, 50ha","both",NA,NA
"Drypetes longifolia","Putranjivaceae","Drypetes","longifolia",NA,"AR, NR, no seedling data","CP, 50ha","both",NA,NA
"Drypetes subcrenata","Putranjivaceae","Drypetes","subcrenata",NA,NA,"50ha","unlogged",NA,NA
"Drypetes unknown mixed","Putranjivaceae","Drypetes","unknown mixed",NA,"AR, NR","CP, 50ha","both",NA,NA
"Duabanga moluccana","Lythraceae","Duabanga","moluccana",NA,"AR, NR","CP, 50ha","both",NA,NA
"Durio graveolens","Malvaceae","Durio","graveolens",NA,"NR","CP, 50ha","both",NA,NA
"Durio unknown mixed","Malvaceae","Durio","unknown mixed",NA,"AR","CP, 50ha","both",NA,NA
"Prasoxylon alliaceum","Meliaceae","Prasoxylon","alliaceum",NA,NA,"50ha","unlogged",NA,NA
"Goniocheton arborescens","Meliaceae","Goniocheton","arborescens",NA,NA,"50ha","unlogged",NA,NA
"Epicharis cumingiana","Meliaceae","Epicharis","cumingiana",NA,NA,"50ha","unlogged",NA,NA
"Dysoxylum cyrtobotryum","Meliaceae","Dysoxylum","cyrtobotryum",NA,"NR, AR","CP, 50ha","both",NA,NA
"Prasoxylon excelsum","Meliaceae","Prasoxylon","excelsum",NA,NA,"50ha","unlogged",NA,NA
"Didymocheton gaudichaudianus","Meliaceae","Didymocheton","gaudichaudianus",NA,NA,"50ha","unlogged",NA,NA
"Dysoxylum grande","Meliaceae","Dysoxylum","grande",NA,NA,"50ha","unlogged",NA,NA
