"binomial_name","family.x","genus","species","history_at_INDFORSUS_site","species_origin","logging_status","flowering_at_size_class","reference"
"Aporosa elmeri","Phyllanthaceae","Aporosa","elmeri",NA,"CP","logged",NA,"Lambir dataset"
"Aporosa falcifera","Phyllanthaceae","Aporosa","falcifera",NA,"CP","logged",NA,"Lambir dataset"
"Aporosa frutescens","Phyllanthaceae","Aporosa","frutescens",NA,"CP","logged",NA,"Lambir dataset"
"Aporosa grandistipula","Phyllanthaceae","Aporosa","grandistipula",NA,"CP","logged",NA,"Lambir dataset"
"Aporosa illustris","Phyllanthaceae","Aporosa","illustris",NA,"CP","logged",NA,"Lambir dataset"
"Aporusa unknown mixed","Phyllanthaceae","Aporusa","unknown mixed",NA,"CP","logged",NA,"Lambir dataset"
"Aquilaria beccariana","Thymelaeaceae","Aquilaria","beccariana",NA,"50ha","unlogged",NA,"Lambir dataset"
"Archidendron microcarpum","Fabaceae","Archidendron","microcarpum",NA,"50ha","unlogged","III","Lambir dataset"
"Archidendron unknown mixed","Fabaceae","Archidendron","unknown mixed",NA,"50ha","unlogged",NA,"Lambir dataset"
"Ardisia  colorata","Primulaceae","Ardisia ","colorata",NA,"CP","logged",NA,"Lambir dataset"
"Ardisia  macrophylla","Primulaceae","Ardisia ","macrophylla",NA,"CP","logged",NA,"Lambir dataset"
"Ardisia  unknown mixed","Primulaceae","Ardisia ","unknown mixed",NA,"CP","logged",NA,"Lambir dataset"
"Artocarpus anisophyllus","Moraceae","Artocarpus","anisophyllus",NA,"50ha, CP","both",NA,"Lambir dataset"
"Artocarpus elasticus","Moraceae","Artocarpus","elasticus",NA,"CP","logged","III","Lambir dataset"
"Artocarpus heterophyllus","Moraceae","Artocarpus","heterophyllus",NA,"CP","logged",NA,"Lambir dataset"
"Artocarpus unknown mixed","Moraceae","Artocarpus","unknown mixed",NA,"CP","logged",NA,"Lambir dataset"
"Atuna excelsa","Chrysobalanaceae","Atuna","excelsa",NA,"CP","logged","III","Lambir dataset"
"Azadirachta excelsa","Meliaceae","Azadirachta","excelsa",NA,"50ha, CP","both",NA,"Lambir dataset"
"Baccaurea edulis","Phyllanthaceae","Baccaurea","edulis",NA,"50ha","unlogged",NA,"Lambir dataset"
"Baccaurea lanceolata","Phyllanthaceae","Baccaurea","lanceolata",NA,"50ha, CP","both",NA,"Lambir dataset"
"Baccaurea macrocarpa","Phyllanthaceae","Baccaurea","macrocarpa",NA,"50ha, CP","both",NA,"Lambir dataset"
"Baccaurea parviflora","Phyllanthaceae","Baccaurea","parviflora",NA,"50ha","unlogged",NA,"Lambir dataset"
"Baccaurea species 1","Phyllanthaceae","Baccaurea","species 1",NA,"50ha","unlogged",NA,"Lambir dataset"
"Baccaurea tetrandra","Phyllanthaceae","Baccaurea","tetrandra",NA,"50ha, CP","both",NA,"Lambir dataset"
"Baccaurea unknown mixed","Phyllanthaceae","Baccaurea","unknown mixed",NA,"50ha, CP","both",NA,"Lambir dataset"
"Barringtonia lanceolata","Lecythidaceae ","Barringtonia","lanceolata",NA,"50ha, CP","both",NA,"Lambir dataset"
"Barringtonia macrostachya","Lecythidaceae ","Barringtonia","macrostachya",NA,"50ha, CP","both",NA,"Lambir dataset"
"Barringtonia unknown mixed","Lecythidaceae","Barringtonia","unknown mixed",NA,"50ha","unlogged",NA,"Lambir dataset"
"Beilschmiedia Unknown species 1","Lauraceae","Beilschmiedia","Unknown species 1",NA,"50ha","unlogged",NA,"Lambir dataset"
"Beilschmiedia assamica","Lauraceae","Beilschmiedia","assamica",NA,"50ha","unlogged",NA,"Lambir dataset"
"Beilschmiedia ","Lauraceae","Beilschmiedia","",NA,"50ha, CP","both",NA,"Lambir dataset"
"Beilschmiedia micrantha","Lauraceae","Beilschmiedia","micrantha",NA,"50ha, CP","both",NA,"Lambir dataset"
"Beilschmiedia tawaensis","Lauraceae","Beilschmiedia","tawaensis",NA,"50ha, CP","both",NA,"Lambir dataset"
"Beilschmiedia unknown mixed","Lauraceae","Beilschmiedia","unknown mixed",NA,"CP","logged",NA,"Lambir dataset"
