"binomial_name","family","genus","species","species_origin","logging_status","history_at_IF_site","history_at_CP_site","level_used","mean_dry_seed_mass_mg","reference_seed_mass"
"Cratoxylum cochinchinense","Hypericaceae","Cratoxylum","cochinchinense","50ha","unlogged",NA,NA,"Species",0.67,"Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008)., Royal Botanical Gardens KEW. Seed Information Database (SID), http://data.kew.org/sid/ accessed May 2014, Moles, A. T., D. S. Falster, M. R. Leishman, and M. Westoby. 2004. Small-seeded species produce more seeds per square metre of canopy per year, but not per individual per lifetime. Journal of Ecology 92:384-396., Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)., Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Cratoxylum unknown mixed","Hypericaceae","Cratoxylum","unknown mixed","CP","logged",NA,"AR, NR",NA,NA,NA
"Croton argyratus","Euphorbiaceae","Croton","argyratus","CP","logged",NA,"NR","Genus",40.5848428571429,"BIEN"
"Croton oblongus","Euphorbiaceae","Croton","oblongus","50ha","unlogged",NA,NA,"Genus",40.5848428571429,"BIEN"
"Croton unknown mixed","Euphorbiaceae","Croton","unknown mixed","50ha","unlogged",NA,NA,NA,NA,NA
"Crudia bantamensis","Fabacea","Crudia","bantamensis","50ha","unlogged",NA,NA,"Family",273.929465733062,"BIEN"
"Crudia tenuipes","Fabaceae","Crudia","tenuipes","CP, 50ha","both",NA,"AR","Family",273.929465733062,"BIEN"
"Crudia unknown mixed","Fabaceae","Crudia","unknown mixed","CP","logged",NA,"AR, NR",NA,NA,NA
"Crypteronia rubiflora","Crypteroniaceae","Crypteronia","rubiflora","50ha","unlogged",NA,NA,"NA",NA,"BIEN"
"Cryptocarya ferrea","Lauraceae","Cryptocarya","ferrea","CP, 50ha","both",NA,"AR, NR","Genus",5366.65,"BIEN"
