original_binomial_name,original_family,original_genus,original_species,family ,genus,species,comments,history_at_INDFORSUS_site,species_origin,logging_status
Diospyros cauliflora,Ebenaceae,Diospyros,cauliflora,Ebenaceae,Diospyros,cauliflora,,NA,"50ha, CP",both
Diospyros curranii,Ebenaceae,Diospyros,curranii,Ebenaceae,Diospyros,curranii,,NA,"50ha, CP",both
Diospyros daemona,Ebenaceae,Diospyros,daemona,Ebenaceae,Diospyros,daemona,,NA,50ha,unlogged
Diospyros dictyoneura,Ebenaceae,Diospyros,dictyoneura,Ebenaceae,Diospyros,dictyoneura,,NA,"50ha, CP",both
Diospyros diepenhorstii,Ebenaceae,Diospyros,diepenhorstii,Ebenaceae,Diospyros,diepenhorstii,,NA,50ha,unlogged
Diospyros elliptifolia,Ebenaceae,Diospyros,elliptifolia,Ebenaceae,Diospyros,elliptifolia,,NA,"50ha, CP",both
Diospyros euphlebia,Ebenaceae,Diospyros,euphlebia,Ebenaceae,Diospyros,euphlehia,euphlebia corrected to euphlehia,NA,"50ha, CP",both
Diospyros frutescens,Ebenaceae,Diospyros,frutescens,Ebenaceae,Diospyros,frutescens,,NA,"50ha, CP",both
Diospyros macrophylla,Ebenaceae,Diospyros,macrophylla,Ebenaceae,Diospyros,peregrina,Diospyros macrophylla is a synonym of Diospyros peregrina,NA,"50ha, CP",both
Diospyros muricata,Ebenaceae,Diospyros,muricata,Ebenaceae,Diospyros,muricata,,NA,"50ha, CP",both
Diospyros pilosanthera,Ebenaceae,Diospyros,pilosanthera,Ebenaceae,Diospyros,oblonga,Diospyros pilosanthera is a synonym of Diospyros oblonga,NA,"50ha, CP",both
Diospyros pyrrhocarpa,Ebenaceae,Diospyros,pyrrhocarpa,Ebenaceae,Diospyros,pyrrhocarpa,,NA,50ha,unlogged
Diospyros species 1,Ebenaceae,Diospyros,species 1,Ebenaceae,Diospyros,species 1,not identified to species level,NA,50ha,unlogged
Diospyros species 2,Ebenaceae,Diospyros,species 2,Ebenaceae,Diospyros,species 2,not identified to species level,NA,50ha,unlogged
Diospyros species 3,Ebenaceae,Diospyros,species 3,Ebenaceae,Diospyros,species 3,not identified to species level,NA,50ha,unlogged
Diospyros species 4,Ebenaceae,Diospyros,species 4,Ebenaceae,Diospyros,species 4,not identified to species level,NA,50ha,unlogged
Diospyros species 6,Ebenaceae,Diospyros,species 6,Ebenaceae,Diospyros,species 6,not identified to species level,NA,50ha,unlogged
Diospyros species 7,Ebenaceae,Diospyros,species 7,Ebenaceae,Diospyros,species 7,not identified to species level,NA,50ha,unlogged
Diospyros squamaefolia,Ebenaceae,Diospyros,squamaefolia,Ebenaceae,Diospyros,squamifolia ,squamaefolia corrected to squamifolia,NA,50ha,unlogged
Diospyros toposia,Ebenaceae,Diospyros,toposia,Ebenaceae,Diospyros,toposia,,NA,"50ha, CP",both
