"binomial_name","Genus","Species","Family","history_at_CP_site","species_origin","logging_status","history_at_IF_site"
"Rothmannia pseudoternisfolia","Rothmannia","pseudoternisfolia","Rubiaceae","AR","CP, 50ha","both",NA
"Ryparosa acuminata","Ryparosa","acuminata","Achariaceae","AR, NR","CP, 50ha","both",NA
"Ryparosa hullettii","Ryparosa","hullettii","Achariaceae","AR","CP, 50ha","both",NA
"Ryparosa unknown mixed","Ryparosa","unknown mixed","Achariaceae",NA,"50ha","unlogged",NA
"Sageraea elliptica","Sageraea","elliptica","Annonaceae","AR, NR","CP","logged",NA
"Sageraea lanceolata","Sageraea","lanceolata","Annonaceae",NA,"50ha","unlogged",NA
"Sageraea sarawakensis","Sageraea","sarawakensis","Annonaceae",NA,"50ha","unlogged",NA
"Santiria laevigata","Santiria","laevigata","Burseraceae","NR, AR","CP, 50ha","both",NA
"Santiria species 1","Santiria","species 1","Burseraceae",NA,"50ha","unlogged",NA
"Santiria tomentosa","Santiria","tomentosa","Burseraceae","AR","CP, 50ha","both",NA
"Saraca declinata","Saraca","declinata","Fabaceae",NA,"50ha","unlogged",NA
"Saurauia agamae","Saurauia","agamae","Actinidiaceae",NA,"50ha","unlogged",NA
"Saurauia sp","Saurauia","sp","Actinidiaceae",NA,"50ha","unlogged",NA
"Saurauia unknown mixed","Saurauia","unknown mixed","Actinidiaceae",NA,"50ha","unlogged",NA
"Scaphium longiflorum","Scaphium","longiflorum","Malvaceae","AR","CP","logged",NA
"Scaphium longifolium","Scaphium","longifolium","Malvaceae","AR, NR","CP","logged",NA
"Scaphium macropodum","Scaphium","macropodum","Malvaceae","AR, NR","CP, 50ha","both",NA
"Scaphium unknown mixed","Scaphium","unknown mixed","Malvaceae","NR","CP","logged",NA
"Scleropyrum pentandrum","Scleropyrum","pentandrum","Santalaceae",NA,"50ha","unlogged",NA
"Scorodocarpus borneensis","Scorodocarpus","borneensis","Olacaceae","AR, NR","CP, 50ha","both",NA
"Semecarpus bunburyana","Semecarpus","bunburyana","Anacardiaceae","NR","CP, 50ha","both",NA
"Shorea agamii","Shorea","agamii","Dipterocarpaceae","NR, AR","CP, 50ha","both",NA
"Shorea argentifolia","Shorea","argentifolia","Dipterocarpaceae","AR, NR","CP, 50ha","both",NA
"Shorea atrinervosa","Shorea","atrinervosa","Dipterocarpaceae","AR, NR","CP, 50ha","both",NA
"Shorea beccariana","Shorea","beccariana","Dipterocarpaceae","AR, NR","CP","logged",NA
"Shorea faguentiana","Shorea","faguentiana","Dipterocarpaceae",NA,"IF","both","ActiveRestoration, NaturalRegeneration"
"Shorea faguetiana","Shorea","faguetiana","Dipterocarpaceae","AR, NR","CP, 50ha","both",NA
"Shorea fallax","Shorea","fallax","Dipterocarpaceae","AR, NR","CP, IF","logged","NaturalRegeneration"
"Shorea gibbosa","Shorea","gibbosa","Dipterocarpaceae","AR, no seedling data, NR","CP, 50ha, IF","both","ActiveRestoration, NaturalRegeneration"
"Shorea johorensis","Shorea","johorensis","Dipterocarpaceae","AR, NR, no seedling data","CP, 50ha, IF","both","ActiveRestoration, NaturalRegeneration"
"Shorea leprosula","Shorea","leprosula","Dipterocarpaceae","AR, NR","CP, 50ha, IF","both","ActiveRestoration"
"Shorea leptoderma","Shorea","leptoderma","Dipterocarpaceae",NA,"50ha","unlogged",NA
"Shorea macrophylla","Shorea","macrophylla","Dipterocarpaceae","AR, NR","CP, IF","logged","ActiveRestoration"
"Shorea macroptera","Shorea","macroptera","Dipterocarpaceae","AR, NR","CP","logged",NA
"Shorea mecistopteryx","Shorea","mecistopteryx","Dipterocarpaceae","AR","CP","logged",NA
"Shorea ovalis","Shorea","ovalis","Dipterocarpaceae","AR, NR","CP","logged",NA
"Shorea ovata","Shorea","ovata","Dipterocarpaceae","NR","CP","logged",NA
"Shorea parvifolia","Shorea","parvifolia","Dipterocarpaceae","AR, NR","CP, 50ha, IF","both","ActiveRestoration, NaturalRegeneration"
"Shorea pauciflora","Shorea","pauciflora","Dipterocarpaceae","AR, NR, no seedling data","CP, 50ha, IF","both","ActiveRestoration, NaturalRegeneration"
"Shorea seminis","Shorea","seminis","Dipterocarpaceae","AR, NR","CP, 50ha","both",NA
"Shorea sp","Shorea","sp","Dipterocarpaceae","AR","CP","logged",NA
"Shorea superba","Shorea","superba","Dipterocarpaceae","AR, NR","CP, 50ha","both",NA
"Shorea symingtonii","Shorea","symingtonii","Dipterocarpaceae",NA,"50ha","unlogged",NA
"Shorea unknown mixed","Shorea","unknown mixed","Dipterocarpaceae","AR, NR, no seedling data","CP, 50ha","both",NA
"Sindora irpicina","Sindora","irpicina","Fabaceae","AR, NR","CP, 50ha","both",NA
"Sloanea javanica","Sloanea","javanica","Elaeocarpaceae",NA,"50ha","unlogged",NA
"Spathiostemon javensis","Spathiostemon","javensis","Euphorbiaceae","AR, NR","CP, 50ha","both",NA
"Stemonurus grandifolius","Stemonurus","grandifolius","Stemonuraceae","AR, NR","CP, 50ha","both",NA
"Stemonurus malaccensis","Stemonurus","malaccensis","Stemonuraceae",NA,"50ha","unlogged",NA
"Stemonurus scorpiodes","Stemonurus","scorpiodes","Stemonuraceae","NR, AR","CP, 50ha","both",NA
"Stemonurus unknown mixed","Stemonurus","unknown mixed","Stemonuraceae","AR","CP, 50ha","both",NA
"Sterculia coccinia","Sterculia","coccinia","Malvaceae",NA,"50ha","unlogged",NA
"Sterculia cordata","Sterculia","cordata","Malvaceae","AR","CP, 50ha","both",NA
"Sterculia rubiginosa","Sterculia","rubiginosa","Malvaceae",NA,"50ha","unlogged",NA
"Sterculia stipulata","Sterculia","stipulata","Malvaceae",NA,"50ha","unlogged",NA
"Sterculia unknown mixed","Sterculia","unknown mixed","Malvaceae",NA,"50ha","unlogged",NA
"Streblus glaber","Streblus","glaber","Moraceae",NA,"50ha","unlogged",NA
"Strombosia ceylanica","Strombosia","ceylanica","Erythropalaceae",NA,"50ha","unlogged",NA
"Suregada multiflora","Suregada","multiflora","Euphorbiaceae",NA,"50ha","unlogged",NA
"Sympetalandra unijug","Sympetalandra","unijug","Fabaceae","NR, AR","CP","logged",NA
"Symplocos fasciculata","Symplocos","fasciculata","Symplocaceae","AR, NR","CP, 50ha","both",NA
"Symplocos odoratissima","Symplocos","odoratissima","Symplocaceae",NA,"50ha","unlogged",NA
"Symplocos unknown mixed","Symplocos","unknown mixed","Symplocaceae","AR","CP","logged",NA
"Syzygium barringtonioides","Syzygium","barringtonioides","Myrtaceae",NA,"50ha","unlogged",NA
"Syzygium christmannii","Syzygium","christmannii","Myrtaceae",NA,"50ha","unlogged",NA
"Syzygium creaghii","Syzygium","creaghii","Myrtaceae",NA,"50ha","unlogged",NA
"Syzygium elliptilimbum","Syzygium","elliptilimbum","Myrtaceae",NA,"50ha","unlogged",NA
"Syzygium elopurae","Syzygium","elopurae","Myrtaceae",NA,"50ha","unlogged",NA
"Syzygium fastigiatum","Syzygium","fastigiatum","Myrtaceae",NA,"50ha","unlogged",NA
"Syzygium hirtum","Syzygium","hirtum","Myrtaceae","AR","CP, 50ha","both",NA
"Syzygium imperiale","Syzygium","imperiale","Myrtaceae",NA,"50ha","unlogged",NA
"Syzygium kiauese","Syzygium","kiauese","Myrtaceae",NA,"50ha","unlogged",NA
"Syzygium kunstleri","Syzygium","kunstleri","Myrtaceae",NA,"50ha","unlogged",NA
"Syzygium leptostemon","Syzygium","leptostemon","Myrtaceae",NA,"50ha","unlogged",NA
"Syzygium panzeri","Syzygium","panzeri","Myrtaceae",NA,"50ha","unlogged",NA
"Syzygium penibukanense","Syzygium","penibukanense","Myrtaceae",NA,"50ha","unlogged",NA
"Syzygium pustulatum","Syzygium","pustulatum","Myrtaceae",NA,"50ha","unlogged",NA
"Syzygium scortechinii","Syzygium","scortechinii","Myrtaceae",NA,"50ha","unlogged",NA
"Syzygium tawahensis","Syzygium","tawahensis","Myrtaceae",NA,"50ha","unlogged",NA
"Syzygium unknown mixed","Syzygium","unknown mixed","Myrtaceae","AR, NR, no seedling data","CP, 50ha","both",NA
"Tabernaemontana macrocarpa","Tabernaemontana","macrocarpa","Apocynaceae",NA,"50ha","unlogged",NA
"Tabernaemontana pauciflora","Tabernaemontana","pauciflora","Apocynaceae",NA,"50ha","unlogged",NA
"Tabernaemontana unknown mixed","Tabernaemontana","unknown mixed","Apocynaceae",NA,"50ha","unlogged",NA
"Taulama gitingensis","Taulama","gitingensis","Magnoliaceae","NR, AR","CP","logged",NA
"Taulama unknown mixed","Taulama","unknown mixed","Magnoliaceae","NR","CP","logged",NA
"Teijsmanniodendron bogoriense","Teijsmanniodendron","bogoriense","Lamiaceae",NA,"50ha","unlogged",NA
"Teijsmanniodendron pteropodum","Teijsmanniodendron","pteropodum","Lamiaceae","AR","CP","logged",NA
"Teijsmanniodendron unknown mixed","Teijsmanniodendron","unknown mixed","Lamiaceae","AR, NR","CP","logged",NA
"Terminalia citrina","Terminalia","citrina","Combretaceae",NA,"50ha","unlogged",NA
"Terminalia ivorensis","Terminalia","ivorensis","Combretaceae",NA,"50ha","unlogged",NA
"Terminalia phellocarpa","Terminalia","phellocarpa","Combretaceae",NA,"50ha","unlogged",NA
"Terminalia species 1","Terminalia","species 1","Combretaceae",NA,"50ha","unlogged",NA
"Terminalia species 2","Terminalia","species 2","Combretaceae",NA,"50ha","unlogged",NA
"Timonius lasianthoides","Timonius","lasianthoides","Rubiaceae",NA,"50ha","unlogged",NA
"Timonius wallichianus","Timonius","wallichianus","Rubiaceae",NA,"50ha","unlogged",NA
"Triomma malaccensis","Triomma","malaccensis","Burseraceae","NR","CP, 50ha","both",NA
"Turpinia sphaerocarpa","Turpinia","sphaerocarpa","Tapisciaceae",NA,"50ha","unlogged",NA
"Unidentified Unknown","Unidentified","Unknown","Unknown",NA,"50ha","unlogged",NA
"Unidentified Unknown species","Unidentified","Unknown species","Unknown",NA,"50ha","unlogged",NA
"Unidentified asperum","Unidentified","asperum","Unknown",NA,"50ha","unlogged",NA
"Unidentified benthamiana","Unidentified","benthamiana","Unknown",NA,"50ha","unlogged",NA
"Unidentified capitata","Unidentified","capitata","Unknown",NA,"50ha","unlogged",NA
"Unidentified colorata","Unidentified","colorata","Unknown",NA,"50ha","unlogged",NA
"Unidentified confertus","Unidentified","confertus","Unknown",NA,"50ha","unlogged",NA
"Unidentified confusa","Unidentified","confusa","Unknown",NA,"50ha","unlogged",NA
"Unidentified corymbosus","Unidentified","corymbosus","Unknown",NA,"50ha","unlogged",NA
"Unidentified decumanum","Unidentified","decumanum","Unknown",NA,"50ha","unlogged",NA
"Unidentified denticulatum","Unidentified","denticulatum","Unknown",NA,"50ha","unlogged",NA
"Unidentified elmeri","Unidentified","elmeri","Unknown",NA,"50ha","unlogged",NA
"Unidentified falcifera","Unidentified","falcifera","Unknown",NA,"50ha","unlogged",NA
"Unidentified frutescens","Unidentified","frutescens","Unknown",NA,"50ha","unlogged",NA
"Unidentified gitingensis","Unidentified","gitingensis","Unknown",NA,"50ha","unlogged",NA
"Unidentified glabrum","Unidentified","glabrum","Unknown",NA,"50ha","unlogged",NA
"Unidentified grandistipula","Unidentified","grandistipula","Unknown",NA,"50ha","unlogged",NA
"Unidentified griffithianum","Unidentified","griffithianum","Unknown",NA,"50ha","unlogged",NA
"Unidentified havilandii","Unidentified","havilandii","Unknown",NA,"50ha","unlogged",NA
"Unidentified illustris","Unidentified","illustris","Unknown",NA,"50ha","unlogged",NA
"Unidentified latistipulatum","Unidentified","latistipulatum","Unknown",NA,"50ha","unlogged",NA
"Unidentified lunata","Unidentified","lunata","Unknown",NA,"50ha","unlogged",NA
"Unidentified lunu-ankenda","Unidentified","lunu-ankenda","Unknown",NA,"50ha","unlogged",NA
"Unidentified macrophylla","Unidentified","macrophylla","Unknown",NA,"50ha","unlogged",NA
"Unidentified nitida","Unidentified","nitida","Unknown",NA,"50ha","unlogged",NA
"Unidentified odontophyllum","Unidentified","odontophyllum","Unknown",NA,"50ha","unlogged",NA
"Unidentified pachysandra","Unidentified","pachysandra","Unknown",NA,"50ha","unlogged",NA
"Unidentified pilosum","Unidentified","pilosum","Unknown",NA,"50ha","unlogged",NA
"Unidentified racemosa","Unidentified","racemosa","Unknown",NA,"50ha","unlogged",NA
"Unidentified ridleyi","Unidentified","ridleyi","Unknown",NA,"50ha","unlogged",NA
"Unidentified rumphii","Unidentified","rumphii","Unknown",NA,"50ha","unlogged",NA
"Unidentified species 1","Unidentified","species 1","Unknown",NA,"50ha","unlogged",NA
"Unidentified species 10","Unidentified","species 10","Unknown",NA,"50ha","unlogged",NA
"Unidentified species 11","Unidentified","species 11","Unknown",NA,"50ha","unlogged",NA
"Unidentified species 13","Unidentified","species 13","Unknown",NA,"50ha","unlogged",NA
"Unidentified species 14","Unidentified","species 14","Unknown",NA,"50ha","unlogged",NA
"Unidentified species 15","Unidentified","species 15","Unknown",NA,"50ha","unlogged",NA
"Unidentified species 16","Unidentified","species 16","Unknown",NA,"50ha","unlogged",NA
"Unidentified species 17","Unidentified","species 17","Unknown",NA,"50ha","unlogged",NA
"Unidentified species 18","Unidentified","species 18","Unknown",NA,"50ha","unlogged",NA
"Unidentified species 19","Unidentified","species 19","Unknown",NA,"50ha","unlogged",NA
"Unidentified species 2","Unidentified","species 2","Unknown",NA,"50ha","unlogged",NA
"Unidentified species 20","Unidentified","species 20","Unknown",NA,"50ha","unlogged",NA
"Unidentified species 21","Unidentified","species 21","Unknown",NA,"50ha","unlogged",NA
"Unidentified species 3","Unidentified","species 3","Unknown",NA,"50ha","unlogged",NA
"Unidentified species 4","Unidentified","species 4","Unknown",NA,"50ha","unlogged",NA
"Unidentified species 5","Unidentified","species 5","Unknown",NA,"50ha","unlogged",NA
"Unidentified species 6","Unidentified","species 6","Unknown",NA,"50ha","unlogged",NA
"Unidentified species 7","Unidentified","species 7","Unknown",NA,"50ha","unlogged",NA
"Unidentified species 8","Unidentified","species 8","Unknown",NA,"50ha","unlogged",NA
"Unidentified species 9","Unidentified","species 9","Unknown",NA,"50ha","unlogged",NA
"Unidentified sumatrana","Unidentified","sumatrana","Unknown",NA,"50ha","unlogged",NA
"Unidentified unknown","Unidentified","unknown","Unknown",NA,"50ha","unlogged",NA
"Unidentified unknown mixed","Unidentified","unknown mixed","Unknown",NA,"50ha","unlogged",NA
"Unidentified wallichii","Unidentified","wallichii","Unknown",NA,"50ha","unlogged",NA
"Unknown species 8","Unknown","species 8","Annonaceae","NR","CP","logged",NA
"Unknown unknown mixed","Unknown","unknown mixed","Annonaceae","AR, NR","CP","logged",NA
"Urophyllum  glabrum","Urophyllum ","glabrum","Rubiaceae","NR","CP","logged",NA
"Urophyllum  unknown mixed","Urophyllum ","unknown mixed","Rubiaceae","AR","CP","logged",NA
"Vatica albiramis","Vatica","albiramis","Dipterocarpaceae","AR","CP, 50ha","both",NA
"Vatica chartacea","Vatica","chartacea","Dipterocarpaceae",NA,"50ha","unlogged",NA
"Vatica dulitensis","Vatica","dulitensis","Dipterocarpaceae","AR, NR","CP","logged",NA
"Vatica oblongifolia","Vatica","oblongifolia","Dipterocarpaceae",NA,"50ha","unlogged",NA
"Vatica sarawakensis","Vatica","sarawakensis","Dipterocarpaceae","AR","CP, 50ha","both",NA
"Vatica umbonata","Vatica","umbonata","Dipterocarpaceae",NA,"50ha","unlogged",NA
"Vitex pinnata","Vitex","pinnata","Lamiaceae","AR, NR","CP, 50ha","both",NA
"Walsura pachycaulon","Walsura","pachycaulon","Meliaceae",NA,"50ha","unlogged",NA
"Walsura pinnata","Walsura","pinnata","Meliaceae","AR, NR","CP, 50ha","both",NA
"Walsura species 1","Walsura","species 1","Meliaceae",NA,"50ha","unlogged",NA
"Xanthophyllum adenotus","Xanthophyllum","adenotus","Polygalaceae",NA,"50ha","unlogged",NA
"Xanthophyllum affine","Xanthophyllum","affine","Polygalaceae","AR, NR","CP, 50ha","both",NA
"Xanthophyllum flavescens","Xanthophyllum","flavescens","Polygalaceae",NA,"50ha","unlogged",NA
"Xanthophyllum pachycarpon","Xanthophyllum","pachycarpon","Polygalaceae",NA,"50ha","unlogged",NA
"Xanthophyllum reticulatum","Xanthophyllum","reticulatum","Polygalaceae",NA,"50ha","unlogged",NA
"Xanthophyllum species 1","Xanthophyllum","species 1","Polygalaceae",NA,"50ha","unlogged",NA
"Xanthophyllum species 2","Xanthophyllum","species 2","Polygalaceae",NA,"50ha","unlogged",NA
"Xanthophyllum species 3","Xanthophyllum","species 3","Polygalaceae",NA,"50ha","unlogged",NA
"Xanthophyllum species 4","Xanthophyllum","species 4","Polygalaceae",NA,"50ha","unlogged",NA
"Xanthophyllum species 5","Xanthophyllum","species 5","Polygalaceae",NA,"50ha","unlogged",NA
"Xanthophyllum species 6","Xanthophyllum","species 6","Polygalaceae",NA,"50ha","unlogged",NA
"Xanthophyllum species 7","Xanthophyllum","species 7","Polygalaceae",NA,"50ha","unlogged",NA
"Xanthophyllum unknown mixed","Xanthophyllum","unknown mixed","Polygalaceae","AR, NR","CP","logged",NA
"Xanthophyllum vitellinum","Xanthophyllum","vitellinum","Polygalaceae",NA,"50ha","unlogged",NA
"Xylopia ferruginea","Xylopia","ferruginea","Annonaceae","AR","CP, 50ha","both",NA
"Ziziphus angustifolius","Ziziphus","angustifolius","Rhamnaceae","AR, NR","CP, 50ha","both",NA
"nA NA","nA",NA,NA,"no seedling data","CP","logged",NA
