LastName	FirstName	DatasetID	Dataset	SpeciesName	AccSpeciesID	AccSpeciesName	ObservationID	ObsDataID	TraitID	TraitName	DataID	DataName	OriglName	OrigValueStr	OrigUnitStr	ValueKindName	OrigUncertaintyStr	UncertaintyName	Replicates	StdValue	UnitName	RelUncertaintyPercent	OrigObsDataID	ErrorRisk	Reference	Comment	StdValueStr	
Liu	Udayangani	21	KEW Seed Information Database (SID)	Nyssa javanica	38406	Nyssa javanica	33639	754556			235	Comments, notes, methods	Note	Diaspore=drupe. The fruit is fleshy/juicy.											Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
Liu	Udayangani	21	KEW Seed Information Database (SID)	Nyssa javanica	38406	Nyssa javanica	33639	754557			113	Reference / source	Reference	Forest Restoration Research Unit. 2000. Tree Seed and Seedlings for Restoring Forests in Northe ...											Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).		2673	
Liu	Udayangani	21	KEW Seed Information Database (SID)	Ficus variegata	24964	Ficus variegata	33906	755755	28	Dispersal syndrome	32	Dispersal syndrome (agent)	PostDispersalAgentSubGroupDescription	Animal											Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
Liu	Udayangani	21	KEW Seed Information Database (SID)	Ficus variegata	24964	Ficus variegata	1060182	755756	28	Dispersal syndrome	32	Dispersal syndrome (agent)	PostDispersalAgentSubGroupDescription	Diaspore is eaten intentionally											Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
Liu	Udayangani	21	KEW Seed Information Database (SID)	Ficus variegata	24964	Ficus variegata	33906	755757	28	Dispersal syndrome	289	Dispersal syndrom Animal group	AnimalGroup	Mammals (bats).											Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
Liu	Udayangani	21	KEW Seed Information Database (SID)	Ficus variegata	24964	Ficus variegata	33906	755758	28	Dispersal syndrome	290	Dispersal syndrom animal species	AnimalSpecies	Fruit bats											Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
Liu	Udayangani	21	KEW Seed Information Database (SID)	Ficus variegata	24964	Ficus variegata	33906	755759			235	Comments, notes, methods	Note	Diaspore=fruit. Fruit is fleshy.											Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
Liu	Udayangani	21	KEW Seed Information Database (SID)	Ficus variegata	24964	Ficus variegata	33906	755760			113	Reference / source	Reference	Corlett, R.T. 1996. Characteristics of vertebrate-dispersed fruits in Hong Kong. Journal of Tro ...											Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).		1631	
Liu	Udayangani	21	KEW Seed Information Database (SID)	Sterculia lanceolata	51755	Sterculia lanceolata	33940	755926	28	Dispersal syndrome	32	Dispersal syndrome (agent)	PostDispersalAgentSubGroupDescription	Animal											Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
Liu	Udayangani	21	KEW Seed Information Database (SID)	Sterculia lanceolata	51755	Sterculia lanceolata	1060216	755927	28	Dispersal syndrome	32	Dispersal syndrome (agent)	PostDispersalAgentSubGroupDescription	Diaspore is eaten intentionally											Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
Liu	Udayangani	21	KEW Seed Information Database (SID)	Sterculia lanceolata	51755	Sterculia lanceolata	33940	755928	28	Dispersal syndrome	289	Dispersal syndrom Animal group	AnimalGroup	Birds.											Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
Liu	Udayangani	21	KEW Seed Information Database (SID)	Sterculia lanceolata	51755	Sterculia lanceolata	33940	755929			235	Comments, notes, methods	Note	Diaspore=fruit. Fruit is fleshy.											Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
Liu	Udayangani	21	KEW Seed Information Database (SID)	Sterculia lanceolata	51755	Sterculia lanceolata	33940	755930			113	Reference / source	Reference	Corlett, R.T. 1996. Characteristics of vertebrate-dispersed fruits in Hong Kong. Journal of Tro ...											Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).		1631	
Liu	Udayangani	21	KEW Seed Information Database (SID)	Scaphium macropodum	48693	Scaphium macropodum	34201	756982	28	Dispersal syndrome	32	Dispersal syndrome (agent)	PostDispersalAgentSubGroupDescription	Wind											Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
Liu	Udayangani	21	KEW Seed Information Database (SID)	Scaphium macropodum	48693	Scaphium macropodum	1060473	756983	28	Dispersal syndrome	32	Dispersal syndrome (agent)	PostDispersalAgentSubGroupDescription	Diaspore is blown by wind											Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
Liu	Udayangani	21	KEW Seed Information Database (SID)	Scaphium macropodum	48693	Scaphium macropodum	34201	756984			235	Comments, notes, methods	Note	Diaspore=fruit. Fruit has a boat-shaped wing.											Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
Liu	Udayangani	21	KEW Seed Information Database (SID)	Scaphium macropodum	48693	Scaphium macropodum	34201	756985			113	Reference / source	Reference	Yamada, T. and Suzuki, E. 1999. Comparative morphology and allometry of winged diaspores among  ...											Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).		9371	
